Family,Genus,Species,Latin_Name,Common_Name,Fig_stat,Status,Details,Sources
Molossidae,Nyctinomops,femorosaccus,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Miniopteridae,Miniopterus,africanus,Miniopterus africanus,African Long-fingered Bat,,Potential Migrant,only present in Feb/PM? - O'Shea & Vaughan,O'Shea & Vaughan 1980
Vespertilionidae,Myotis,ciliolabrum,Myotis ciliolabrum,Western Small-footed Myotis,,Migratory/Nonmigratory,"Suggest altitudinal migration - McGuire & Boyle 2013, NM - Burns & Broder, nm-W&M2022; mig-Medellin, mention of alt mig - Adams 2018",McGuire & Boyle 2013; Burns & Broder 2014; Webber & McGuire 2022; Medellin 2003
Phyllostomidae,Glossophaga,commissarisi,Glossophaga commissarisi,Commissaris's Long-tongued Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Pteropodidae,Rousettus,amplexicaudatus,Rousettus amplexicaudatus,Geoffroy's Rousette,,Unknown,,
Molossidae,Mops,thersites,Mops thersites,Railer Free-tailed Bat,,Unknown,,
Pteropodidae,Cynopterus,sphinx,Cynopterus sphinx,Greater Short-nosed Fruit Bat,,Nonmigratory,"NM - B&B2014, unknown in Moussy 2013",Moussy 2013; Burns & Broder 2014
Vespertilionidae,Myotis,bocagii,Myotis bocagii,Rufous Myotis,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Phyllostomidae,Ametrida,centurio,Ametrida centurio,Little White-shouldered Bat,,Potential Migrant,suggests potential regional or altitudinal migration,"Acacio et al 2015 Ametrida centurio: small bat, big traveller?"
Phyllostomidae,Artibeus,planirostris,Artibeus planirostris,Flat-headed Fruit-eating Bat,,Unknown,,
Rhinolophidae,Rhinolophus,trifoliatus,Rhinolophus trifoliatus,Trefoil Horseshoe Bat,,Unknown,,
Vespertilionidae,Myotis,elegans,Myotis elegans,Elegant Myotis,,Nonmigratory,"NM - Bisson, nm-Medellin",Bisson et al. 2009; Medellin 2003
Phyllostomidae,Trinycteris,nicefori,Trinycteris nicefori,Niceforo's Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Molossus,pretiosus,Molossus pretiosus,Miller's Mastiff Bat,,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores,Louriero et al 2020
Molossidae,Nyctinomops,laticaudatus,Nyctinomops laticaudatus,Broad-eared Free-tailed Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Austronomus,australis,Austronomus australis,White-striped Free-tailed Bat,,Migratory,"potentially migratory - Hourigan et al 2006, seasonal migrant - Menkhorst & Knight 2011",Hourigan et al. 2006; Menkhorst & Knight 2011
Hipposideridae,Hipposideros,cineraceus,Hipposideros cineraceus,Ashy Leaf-nosed Bat,,Unknown,,
Phyllostomidae,Phyllostomus,elongatus,Phyllostomus elongatus,Lesser Spear-nosed Bat,,Unknown,,
Molossidae,Eumops,auripendulus,Eumops auripendulus,Black Bonneted Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Nycteridae,Nycteris,thebaica,Nycteris thebaica,Egyptian Slit-faced Bat,,Migratory/Nonmigratory,"NM - M&R2011, others mention potential migration; mig-W&M2022; annual resident - O&V1980",McGuire & Ratcliffe 2011; Monadjem et al. 2009 & Monadjem 2006 mentions possible migration but provides no evidence; Webber & McGuire 2022; O'Shea & Vaughan 1980
Rhinonycteridae,Rhinonicteris,aurantia,Rhinonicteris aurantia,Orange Leaf-nosed Bat,,Unknown,,
Miniopteridae,Miniopterus,natalensis,Miniopterus natalensis,Natal Long-fingered Bat,,Migratory,"annual res/PM? - O'Shea & Vaughan, Mig - Moussy; SD - B&B2014; MacEwan 2011 report mentions migration over ridges; Voigt et al 2014 - evidence of alt mig; mig (only African pops) - CMS2020; mig-Miller-Butterworth",Moussy 2013; Pretorius 2021; O'Shea & Vaughan 1980; Burns & Broders 2014; MacEwan 2011; Voigt et al 2014; CMS 2020; Miller-Butterworth et al 2003
Vespertilionidae,Myotis,volans,Myotis volans,Long-legged Myotis,,Migratory/Nonmigratory,"Potential altitudinal mig - McGuire/Boyle; NM - Bisson; mig-W&M2022, mig-Medellin, mention of alt mig - Adams 2018",McGuire & Boyle 2013; Bisson et al 2009; Webber & McGuire 2022; Medellin 2003
Thyropteridae,Thyroptera,tricolor,Thyroptera tricolor,Spix's Disk-winged Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Vespertilionidae,Myotis,capaccinii,Myotis capaccinii,Long-fingered Myotis,,Migratory/Nonmigratory,"RM in Europe; NM - Bisson, SD - Burns & Broder, RM - Hutterer et al. 2005, mig - Moussy, Fleming 2003 says unknown, nm-W&M2022","Papadatou et al 2008; Bisso et al 2009; Burns & Broder 2014; Hutterer et al. 2005, Moussy et al 2013; Webber & McGuire 2022"
Vespertilionidae,Chalinolobus,morio,Chalinolobus morio,Chocolate Wattled Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Vespertilionidae,Scotoecus,hindei,Scotoecus hindei,Hinde's Lesser House Bat,,Potential Migrant,PM? - O'Shea & Vaughan,O'Shea & Vaughan 1980
Vespertilionidae,Eptesicus,serotinus,Eptesicus serotinus,Common Serotine,,Potential Migrant/Nonmigratory,"NM in Europe - Fleming 2003, partial mig? - suggested by Ahlen et al. 2009, regional migrant also suggested by Hutterer et al. 2005 (evidence suggests shorter distances); altitudinal mig. suggested by McGuire & Boyle 2013, sedentery - R&M2011, sedentery - Strelkov1969, nm-W&M2022; NM-Bisson",Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; Ahlen et al. 2009; Hutterer et al. 2005; Strelkov 1969; Webber & McGuire 2022
Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,Lesser Dog-like Bat,,Nonmigratory,nonmigratory emballonurid - species studied over course of 1 year - Dunlop; nm-Medellin2003,Dunlop 1998; Medellin 2003
Phyllostomidae,Erophylla,sezekorni,Erophylla sezekorni,Buffy Flower Bat,,Unknown,,
Phyllostomidae,Artibeus,obscurus,Artibeus obscurus,Dark Fruit-eating Bat,,Potential Migrant,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013
Vespertilionidae,Myotis,grisescens,Myotis grisescens,Gray Myotis,,Migratory,"SD - Bisson, >500km mentioned in Hutson 2001; mig-W&M2022; mig-Tuttle 1976, mig - Holliday et al 2023",Bisson et al. 2009; Hutson 2001; Webber & McGuire 2022; Tuttle 1976; Holliday et al 2023
Vespertilionidae,Kerivoula,papillosa,Kerivoula papillosa,Papillose Woolly Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Vespertilionidae,Scotorepens,greyii,Scotorepens greyii,Little Broad-nosed Bat,,Potential Migrant/Nonmigratory,"Purported migratory - Churchill, NM - Bisson",Churchill 2009 Australian bats; Bisson et al 2009
Phyllostomidae,Carollia,sowelli,Carollia sowelli,Sowell&apos;s Short-tailed Bat,,Unknown,,
Phyllostomidae,Micronycteris,megalotis,Micronycteris megalotis,Little Big-eared Bat,,Potential Migrant,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013
Vespertilionidae,Myotis,austroriparius,Myotis austroriparius,Southeastern Myotis,,Nonmigratory,"NM-bisson, nm-W&M2022",Bisson et al. 2009; Webber & McGuire 2022
Phyllostomidae,Sturnira,bogotensis,Sturnira bogotensis,Bogot&aacute; Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Lophostoma,silvicola,Lophostoma silvicola,White-throated Round-eared Bat,,Nonmigratory,NM-Moussy,Moussy 2013
Vespertilionidae,Lasiurus,ega,Lasiurus ega,Southern Yellow Bat,,Migratory/Potential Nonmigrant,LD - Bisson; check out sources in Rojas-Herrera2023; mig-Medellin; mig-CMS2020,Bisson et al. 2009; Rojas-Herrera et al 2023; Medellin 2003; CMS2020
Emballonuridae,Emballonura,monticola,Emballonura monticola,Lesser Sheath-tailed Bat,,Migratory,mig - McGuire & Ratcliffe; mig-CMS2012,McGuire & Ratcliffe 2011; CMS 2012
Phyllostomidae,Enchisthenes,hartii,Enchisthenes hartii,Velvety Fruit-eating Bat,,Nonmigratory,NM - Medellin 2003,Medellin 2003
Phyllostomidae,Gardnerycteris,crenulata,Gardnerycteris crenulata,Striped Hairy-nosed Bat,,Potential Migrant/Nonmigratory,Altitudinal mig. suggested in McGuire & Boyle 2013; nm-Medellin,McGuire & Boyle 2013; Medellin 2003
Pteropodidae,Nyctimene,robinsoni,Nyctimene robinsoni,Queensland Tube-nosed Fruit Bat,,Unknown,species in M&K2001 but no mention of mig/nonmig,Menkhorst & Knight 2001
Vespertilionidae,Myotis,goudotii,Myotis goudotii,Malagasy Myotis,,Potential Migrant/Nonmigratory,"Some suggestion of possible migration/mig - Moussy et al. 2013/Weyeneth et al. 2010, NM - Bisson",Moussy 2013; Bisson et al 2009
Phyllostomidae,Anoura,cultrata,Anoura cultrata,Handley's Tailless Bat,,Unknown,,
Phyllostomidae,Micronycteris,schmidtorum,Micronycteris schmidtorum,Schmidt's Big-eared Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Molossus,molossus,Molossus molossus,Pallas's Mastiff Bat,,Nonmigratory,NM - NatureServe; NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores; nm-Medellin,Louriero et al 2020 (check citations 26-29); https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.798402/Molossus_molossus; Medellin 2003
Emballonuridae,Saccopteryx,canescens,Saccopteryx canescens,Frosted Sac-winged Bat,,Unknown,,
Rhinolophidae,Rhinolophus,megaphyllus,Rhinolophus megaphyllus,Smaller Horseshoe Bat,,Unknown,,
Phyllostomidae,Sturnira,oporaphilum,Sturnira oporaphilum,Tschudi's Yellow-shouldered Bat,,Unknown,,
Vespertilionidae,Myotis,lucifugus,Myotis lucifugus,Little Brown Myotis,,Migratory,Mig - McGuire/Ratcliffe; SD - Bisson/Burns & Broder; altitudinal mig. suggested in McGuire & Boyle 2013; mig-W&M2022; mig-Medellin; mig-F&E2003,McGuire & Ratcliffe 2011; Bisson et al 2009; https://en.wikipedia.org/wiki/Little_brown_bat; Burns & Broder 2014; McGuire & Boyle 2013; Davis & Hitchcock 1965; Webber & McGuire 2022; Medellin 2003; Fleming & Eby 2003
Vespertilionidae,Plecotus,austriacus,Plecotus austriacus,Gray Long-eared Bat,,Nonmigratory,"NM - Fleming 2003, NM - Hutterer, nm-W&M2022; NM-Bisson",Fleming 2003; Moussy 2013; Bisson et al 2009; Hutterer et al. 2005; Webber & McGuire 2022
Emballonuridae,Taphozous,hilli,Taphozous hilli,Hill's Tomb Bat,,Unknown,,
Phyllostomidae,Chiroderma,villosum,Chiroderma villosum,Hairy Big-eyed Bat,,Nonmigratory,NM - Medellin 2003,Medellin 2003
Pteropodidae,Eidolon,helvum,Eidolon helvum,African Straw-colored Fruit Bat,,Migratory/Nonmigratory,"LD (up to 1500km), migratory, purported migratory - Ossa2012; mig - Thomas1983, satellite telemetry & distances - Richter & Cumming 2008, NM-Burland & Wilmer 2001; mig-W&M2022, mig-CMS2020","Fleming 2019; McGuire & Ratcliffe 2011; Hurme et al. 2022; Richter & Cumming 2008, Moussy et al 2013; Ossa et al 2012; Thomas 1983; Burland & Wilmer 2001; Webber & McGuire 2022; CMS 2020"
Rhinonycteridae,Triaenops,afer,Triaenops afer,African Trident Bat,,Unknown,,
Vespertilionidae,Vespadelus,vulturnus,Vespadelus vulturnus,Little Forest Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Phyllostomidae,Vampyressa,thyone,Vampyressa thyone,Northern Little Yellow-eared Bat,,Unknown,,
Pteropodidae,Penthetor,lucasi,Penthetor lucasi,Lucas' Short-nosed Fruit Bat,,Unknown,,
Emballonuridae,Saccopteryx,bilineata,Saccopteryx bilineata,Greater Sac-winged Bat,,Nonmigratory,"NM - M&R, Dunlop says NM (sp studied for 1 year), NM - B&B2014; NM - Burland & Wilmer 2001; nm-W&M2022; nm-Medellin2003",McGuire & Ratcliffe 2011; Dunlop 1998; Burns & Broder 2014; Burland & Wilmer 2001; Webber & McGuire 2022; Medellin 2003
Phyllostomidae,Artibeus,hirsutus,Artibeus hirsutus,Hairy Fruit-eating Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Vespertilionidae,Neoromicia,somalica,Neoromicia somalica,Somali Serotine,,Nonmigratory,NM - Bisson; annual res - O&V1980,"Bisson et al. 2009, O'Shea & Vaughan 1980"
Phyllostomidae,Uroderma,convexum,Uroderma convexum,Arcuate Tent-making Bat,,Unknown,,
Vespertilionidae,Rhogeessa,tumida,Rhogeessa tumida,Black-winged Little Yellow Bat,,Nonmigratory,"NM - Bisson, nm-Medellin",Bisson et al. 2009; Medellin 2003
Pteropodidae,Epomophorus,labiatus,Epomophorus labiatus,Little Epauletted Fruit Bat,,Unknown,,
Vespertilionidae,Lasiurus,xanthinus,Lasiurus xanthinus,Western Yellow Bat,,Migratory/Potential Nonmigrant,"check sources in Rojas-Herrera, some suggest mig, they suggest non-mig; mig-Medellin",Rojas-Herrera et al 2023; Medellin 2003
Phyllostomidae,Vampyriscus,nymphaeus,Vampyriscus nymphaeus,Striped Yellow-eared Bat,,Unknown,,
Rhinolophidae,Rhinolophus,landeri,Rhinolophus landeri,Lander's Horseshoe Bat,,Migratory,mig - McGuire & Ratcliffe; mig (presence Oct to March)-O&V1980,"O'Shea & Vaughan 1980, McGuire & Ratcliffe 2011"
Emballonuridae,Cormura,brevirostris,Cormura brevirostris,Chestnut sac-winged bat,,Nonmigratory,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998
Mormoopidae,Mormoops,blainvillii,Mormoops blainvillii,Antillean Ghost-faced Bat,,Unknown,,
Pteropodidae,Myonycteris (Lissonycteris),angolensis,Myonycteris (Lissonycteris) angolensis,,,Potential Nonmigrant,documented NM habits - mentioned in Ossa2012,Ossa et al 2012 (cites Kwiecinski & Griffiths 1999)
Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,B&uuml;ttikofer&apos;s Epauletted Fruit Bat,,Unknown,,
Miniopteridae,Miniopterus,gleni,Miniopterus gleni,Glen's Long-fingered Bat,,Unknown,,
Rhinolophidae,Rhinolophus,stheno,Rhinolophus stheno,Lesser Brown Horseshoe Bat,,Unknown,,
Emballonuridae,Saccopteryx,leptura,Saccopteryx leptura,Lesser Sac-winged Bat,,Nonmigratory,nonmigratory emballonurid - species studied over course of 1 year-Dunlop; NM - Burland & Wilmer 2001; nm-Medellin,Dunlop 1998; Burland & Wilmer 2001; Medellin 2003
Phyllostomidae,Anoura,geoffroyi,Anoura geoffroyi,Geoffroy's Tailless Bat,,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013; mig - Medellin2003,McGuire & Boyle 2013; Medellin 2003
Phyllostomidae,Glossophaga,leachii,Glossophaga leachii,Gray's Long-tongued Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Ozimops,petersi,Ozimops petersi,Eastern Free-tailed Bat,,Unknown,,
Pteropodidae,Epomophorus,minor,Epomophorus minor,Minor Epauletted Fruit Bat,,Unknown,,
Vespertilionidae,Myotis,albescens,Myotis albescens,Silver-tipped Myotis,,Nonmigratory,"NM - Bisson, nm-Medellin",Bisson et al. 2009; Medellin 2003
Vespertilionidae,Myotis,velifer,Myotis velifer,Cave Myotis,,Migratory/Nonmigratory,"NM - Bisson, mig-W&M2022, either hibernation or mig - Burland & Wilmer 2001, mig-Medellin",Bisson et al. 2009; Webber & McGuire 2022; Burland & Wilmer 2001; Medellin 2003
Emballonuridae,Balantiopteryx,io,Balantiopteryx io,Thomas's sac-winged bat,,Nonmigratory,Dunlop says NM (sp studied over 1 year); NM-Medellin2003,Dunlop 1998; Medellin 2003
Vespertilionidae,Chalinolobus,nigrogriseus,Chalinolobus nigrogriseus,Hoary Wattled Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Pteropodidae,Eonycteris,spelaea,Eonycteris spelaea,Lesser Dawn Bat,,Unknown,,
Vespertilionidae,Perimyotis,subflavus,Perimyotis subflavus,Tricolored Bat,,Migratory/Nonmigratory,"RM in Europe; altitudinal mig. suggested in McGuire & Boyle 2013; SD - Bisson, Smith et al 2022 shows evidence of both short and long mig movements; mig-W&M2022; nm-Medellin; mig-F&E 2003",Fleming 2019; McGuire & Ratcliffe 2011; McGuire & Boyle 2013; Smith et al 2022; Bisson et al. 2009; Webber & McGuire 2022; Medellin 2003; Fleming & Eby 2003
Phyllostomidae,Artibeus,fraterculus,Artibeus fraterculus,Fraternal Fruit-eating Bat,,Unknown,,
Phyllostomidae,Chiroderma,trinitatum,Chiroderma trinitatum,Little Big-eyed Bat,,Unknown,,
Vespertilionidae,Vespadelus,troughtoni,Vespadelus troughtoni,Troughton's Forest Bat,,Unknown,,
Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,Gray sac-winged bat,,Nonmigratory,"Dunlop says NM (species studied for 1 year), Nagy says no evidence to suggest seasonal migration - does mention individuals will forage up to 12km from day roost; nm-Medellin2003",Dunlop 1998; Nagy et al 2014 - dispersal and social organization in the neotropical grey sac-winged bat; Medellin 2003
Molossidae,Molossops,temminckii,Molossops temminckii,Dwarf Dog-faced Bat,,Unknown,,
Phyllostomidae,Sturnira,tildae,Sturnira tildae,Tilda's Yellow-shouldered Bat,,Unknown,,
Pteropodidae,Pteropus,medius,Pteropus medius,Indian Flying Fox,,Potential Migrant,Altitudinal mig. suggested in McGuire & Boyle 2013 (cites Hutson 2002),McGuire & Boyle 2013 (cites Hutson 2202)
Vespertilionidae,Falsistrellus,tasmaniensis,Falsistrellus tasmaniensis,Eastern False Pipistrelle,,Potential Migrant/Nonmigratory,"May be undergoing altitudinal migration - Driessen, NM-Bisson",Driessen et al. 2011 - status and conservation of bats in Tasmania; Bisson et al 2009
Phyllostomidae,Sturnira,parvidens,Sturnira parvidens,Northern Yellow-shouldered Bat,,Unknown,,
Phyllostomidae,Platyrrhinus,helleri,Platyrrhinus helleri,Heller's Broad-nosed Bat,,Potential Migrant/Nonmigratory,Altitudinal mig. suggested in McGuire & Boyle 2013; nm-Medellin,McGuire & Boyle 2013; Medellin 2003
Phyllostomidae,Dermanura,watsoni,Dermanura watsoni,Thomas' Fruit-eating Bat,,Nonmigratory,NM - Medellin 2003,Medellin 2003
Nycteridae,Nycteris,hispida,Nycteris hispida,Hairy Slit-faced Bat,,Unknown,,
Phyllostomidae,Glossophaga,morenoi,Glossophaga morenoi,Western Long-tongued Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Sturnira,erythromos,Sturnira erythromos,Hairy Yellow-shouldered Bat,,Potential Migrant,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013 (cites Giannini 1999 - surveys of Sturnira sp over elev gradient)
Rhinolophidae,Rhinolophus,monoceros,Rhinolophus monoceros,Formosan Lesser Horseshoe Bat,,Nonmigratory,NM,Moussy 2013; Burns & Broder 2014
Vespertilionidae,Pipistrellus,kuhlii,Pipistrellus kuhlii,Kuhl's Pipistrelle,,Nonmigratory,NM in Europe - Fleming 2003; NM - Hutterer; nm-M&W2022,Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; Hutterer et al. 2005; Webber & McGuire 2022
Phyllostomidae,Dermanura,azteca,Dermanura azteca,Aztec Fruit-eating Bat,,Nonmigratory,NM - Medellin 2003,Medellin 2003
Pteropodidae,Epomops,franqueti,Epomops franqueti,Franquet&apos;s Epauletted Fruit Bat,,Potential Nonmigrant,purported NM - Ossa et al 2012 (cites Mickleburgh 2008 IUCN source),Ossa et al 2012
Vespertilionidae,Tylonycteris,robustula,Tylonycteris robustula,Greater Bamboo Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Pteropodidae,Otopteropus,cartilagonodus,Otopteropus cartilagonodus,Luzon Fruit Bat,,Unknown,,
Miniopteridae,Miniopterus,manavi,Miniopterus manavi,Manavi Long-fingered Bat,,Unknown,,
Phyllostomidae,Chrotopterus,auritus,Chrotopterus auritus,Woolly False Vampire Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Hipposideridae,Hipposideros,caffer,Hipposideros caffer,Sundevall's Leaf-nosed Bat,,Nonmigratory,Annual resident-O&V1980; nm-W&M2022,O'Shea & Vaughan 1980; Webber & McGuire 2022
Phyllostomidae,Sturnira,magna,Sturnira magna,Greater Yellow-shouldered Bat,,Unknown,,
Molossidae,Cynomops,planirostris,Cynomops planirostris,Southern Dog-faced Bat,,Unknown,,
Hipposideridae,Hipposideros,larvatus,Hipposideros larvatus,Intermediate Leaf-nosed Bat,,Unknown,,
Molossidae,Mops,jobensis,Mops jobensis,Jobie Island Free-tailed Bat,,Unknown,,
Megadermatidae,Macroderma,gigas,Macroderma gigas,Australian False Vampire Bat,,Nonmigratory,"NM - Moussy, sedentery - M&R2011; NM-Burland & Wilmer 2001; nm-W&M2022",Moussy 2013; McGuire & Ratcliffe 2011; Burland & Wilmer 2001; Webber & McGuire 2022
Emballonuridae,Taphozous,troughtoni,Taphozous troughtoni,Troughton's Tomb Bat,,Unknown,,
Phyllostomidae,Rhinophylla,pumilio,Rhinophylla pumilio,Dwarf Little Fruit Bat,,Unknown,,
Phyllostomidae,Hsunycteris,thomasi,Hsunycteris thomasi,Thomas's Nectar Bat,,Unknown,,
Phyllostomidae,Uroderma,davisi,Uroderma davisi,Davis' Tent-making Bat,,Unknown,,
Vespertilionidae,Vespadelus,regulus,Vespadelus regulus,Southern Forest Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Molossidae,Micronomus,norfolkensis,Micronomus norfolkensis,Eastern Little Mastiff Bat,,Unknown,,
Nycteridae,Nycteris,macrotis,Nycteris macrotis,Large-eared Slit-faced Bat,,Unknown,,
Phyllostomidae,Lionycteris,spurrelli,Lionycteris spurrelli,Chestnut Long-tongued Bat,,Unknown,,
Mormoopidae,Pteronotus,mesoamericanus,Pteronotus mesoamericanus,Mesoamerican mustached bat,,Unknown,,
Mormoopidae,Pteronotus,quadridens,Pteronotus quadridens,Sooty Mustached Bat,,Unknown,,
Pteropodidae,Pteropus,poliocephalus,Pteropus poliocephalus,Gray-headed Flying Fox,,Migratory,"SD - Burns & Broder 2014; govt doc says migratory; mig - McGuire & Ratcliffe; Vardon & Tidemann 1999 mentions possible partial migration, M&K2001 mentions camp size fluctuation; mig - Burland & Wilmer 2001; mig-W&M2022; mig-Ratcliffe1932","Moussy 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Australia govt document for survey guidelines; Vardon & Tidemann 1999, Menkhorst & Knight 2001; Burland & Wilmer 2001; Webber & McGuire 2022; Ratcliffe 1932"
Vespertilionidae,Glauconycteris,argentata,Glauconycteris argentata,Common Butterfly Bat,,Nonmigratory,Not much is known about this species; NM - Bisson,see Rahoum 2015; Hassanin et al. 2017 for species information; Bisson et al 2009
Phyllostomidae,Ectophylla,alba,Ectophylla alba,Honduran White Bat,,Unknown,,
Phyllostomidae,Lonchorhina,aurita,Lonchorhina aurita,Common Sword-nosed Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Vespertilionidae,Nyctophilus,bifax,Nyctophilus bifax,Bifax Long-eared Bat,,Unknown,,
Phyllostomidae,Artibeus,concolor,Artibeus concolor,Brown Fruit-eating Bat,,Potential Migrant,Altitudinal mig. suggested by source in McGuire & Boyle 2013,McGuire & Boyle 2013
Rhinolophidae,Rhinolophus,malayanus,Rhinolophus malayanus,Malayan Horseshoe Bat,,Unknown,,
Vespertilionidae,Scotorepens,orion,Scotorepens orion,Orion Broad-nosed Bat,,Unknown,,
Phyllostomidae,Vampyriscus,bidens,Vampyriscus bidens,Bidentate Yellow-eared Bat,,Unknown,,
Vespertilionidae,Vespadelus,caurinus,Vespadelus caurinus,Western Cave Bat,,Unknown,,
Natalidae,Natalus,tumidirostris,Natalus tumidirostris,Trinidadian Greater Funnel-eared Bat,,Unknown,,
Pteropodidae,Ptenochirus,jagorii,Ptenochirus jagorii,Greater Musky Fruit Bat,,Nonmigratory,NM,Moussy 2013
Mormoopidae,Pteronotus,gymnonotus,Pteronotus gymnonotus,Big Naked-backed Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Eumops,patagonicus,Eumops patagonicus,Patagonian Dwarf Bonneted Bat,,Unknown,,
Pteropodidae,Pteropus,alecto,Pteropus alecto,Black Flying Fox,,Migratory,"LD - Burns & Broder 2014, mig - McGuire & Ratcliffe, movements of <133km/evidence of differential or partial migration - Vardon & Tidemann 1999, M&K2001 - may travel up to 50km daily in search of food, mig - Burland & Wilmer 2001; mig-W&M2022; mig-Breed 2010",Moussy 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Vardon & Tidemann 1999; Burland & Wilmer 2001; Menkhorst & Knight 2001; Webber & McGuire 2022; Breed et al 2010
Phyllostomidae,Artibeus,amplus,Artibeus amplus,Large Fruit-eating Bat,,Unknown,,
Hipposideridae,Hipposideros,ruber,Hipposideros ruber,Noack's Leaf-nosed Bat,,Unknown,,
Vespertilionidae,Myotis,escalerai,Myotis escalerai,Escalera's Myotis,,Nonmigratory,Considered sedentary,"https://www.batmonitoring.org/en/species/myotis-escalerai/; see Machado et al. 2017, "
Phyllostomidae,Platyrrhinus,vittatus,Platyrrhinus vittatus,Greater Broad-nosed Bat,,Unknown,,
Pteropodidae,Nanonycteris,veldkampii,Nanonycteris veldkampii,Veldkamp's Dwarf Epauletted Fruit Bat,,Migratory,LD (up to 1500km) - Fleming; migrates btw wet & dry zones - Thomas 1983,Fleming 2019; mentioned in Hurme et al. 2022; Thomas 1983
Hipposideridae,Hipposideros,beatus,Hipposideros beatus,Benito Leaf-nosed Bat,,Unknown,,
Vespertilionidae,Scotophilus,nigrita,Scotophilus nigrita,Giant House Bat,,Migratory/Nonmigratory,"annual res/PM? - O'Shea & Vaughan; NM - Bisson, mig - M&R2011",McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980; Bisson et al 2009
Vespertilionidae,Vespadelus,baverstocki,Vespadelus baverstocki,Baverstock's Forest Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Vespertilionidae,Myotis,riparius,Myotis riparius,Riparian Myotis,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Pteropodidae,Stenonycteris,lanosa,Stenonycteris lanosa,Long-haired Rousette,,Unknown,,
Vespertilionidae,Myotis,nigricans,Myotis nigricans,Black Myotis,,Nonmigratory,"NM - Bisson, nm-W&M2022, nm-Medellin",Bisson et al. 2009; Webber & McGuire 2022; Medellin 2003
Vespertilionidae,Chalinolobus,dwyeri,Chalinolobus dwyeri,Large-eared Pied Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Rhinolophidae,Rhinolophus,arcuatus,Rhinolophus arcuatus,Arcuate Horseshoe Bat,,Unknown,,
Phyllostomidae,Hylonycteris,underwoodi,Hylonycteris underwoodi,Underwood's Long-tongued Bat,,Potential Migrant/Nonmigratory,Altitudinal mig. suggested in McGuire & Boyle 2013; nm-Medellin,McGuire & Boyle 2013; Medellin 2003
Pteropodidae,Pteropus,vampyrus,Pteropus vampyrus,Large Flying Fox,,Migratory,potential migrant (transmigratory) - Hutson 2002; mig-Epstein 2009,Hutson 2002; Epstein et al 2009
Vespertilionidae,Afronycteris,nana,Afronycteris nana,Banana Serotine,,Nonmigratory,"sedentary - M&R2011, NM-Bisson; nm-W&M2022; annual resident - O&V1980",McGuire & Ratcliffe 2011; Bisson et al 2009; Webber & McGuire 2022; O'Shea & Vaughan 1980
