Family,Genus,Species,Latin_Name,Common_Name,Fig_stat,Status,Details,Sources
Vespertilionidae,Myotis,alcathoe,Myotis alcathoe,Alcathoe Myotis,,Nonmigratory,"NM - B&B2014, considered sedentary",Burns & Broders2014; https://www.batmonitoring.org/en/species/myotis-alcathoe/
Emballonuridae,Emballonura,alecto,Emballonura alecto,Small Asian Sheath-tailed Bat,,Potential Nonmigrant,"Potentially not migratory - has low wing loading, low aspect ratio",Tanalgo et al. 2012 
Vespertilionidae,Myotis,muricola,Myotis muricola,Nepalese Whiskered Myotis,,Nonmigratory,"NM, unknown in Moussy 2013",Moussy 2013; Bisson et al 2009
Vespertilionidae,Pipistrellus,pygmaeus,Pipistrellus pygmaeus,Soprano Pipistrelle,,Migratory,"SD - Burns & Broder 2014; partial migrant - Ahlen 2009, putative migratory - Moussy 2013; DD - Hutterer",Moussy 2013; Burns & Broder 2014; Ahlen et al. 2009; Hutterer et al. 2005; Bryja et al 2008
Emballonuridae,Taphozous,australis,Taphozous australis,Coastal Tomb Bat,,Nonmigratory,NM - M&R; nm-W&M2022,McGuire & Ratcliffe 2011; Webber & McGuire 2022
Vespertilionidae,Vansonia,rueppellii,Vansonia rueppellii,R&uuml;ppell's Pipistrelle,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Vespertilionidae,Myotis,keenii,Myotis keenii,Keen's Myotis,,Nonmigratory,"NM - Bisson, nm-W&M2022",Bisson et al. 2009; Webber & McGuire 2022; https://animaldiversity.org/accounts/Myotis_keenii/#contributors (provides sources for small-scale movements between hibernacula but no migration)
Vespertilionidae,Corynorhinus,mexicanus,Corynorhinus mexicanus,Mexican Big-eared Bat,,Nonmigratory,"NM - Bisson, nm-Medellin",Bisson et al 2009; Medellin 2003
Vespertilionidae,Eptesicus,nilssonii,Eptesicus nilssonii,Northern Bat,,Migratory/Nonmigratory,"NM in Europe - Fleming 2003, NM - Bisson, resident - Ahlen 2009, Hutterer et al. 2005 mentions that they are regional migrants (provides distances and evidence), potential altitudinal mig - McGuire & Boyle 2013",Fleming 2003; Bisson et al 2009; Ahlen et al. 2009; M&B2013; Hutterer 2005
Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,Wahlberg&apos;s Epauletted Fruit Bat,,Migratory/Potential Nonmigrant,"mig - McGuire & Ratcliffe, annual res/partial migrant? - O'Shea & Vaughan; altitudinal migration suggested by McGuire & Boyle 2013; purported NM - Ossa et al 2012 (cites Acharya 1992 - SD movements of few km); mig-W&M2022",McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980; Ossa et al 2012; Webber & McGuire 2022
Phyllostomidae,Sturnira,bidens,Sturnira bidens,Bidentate Yellow-shouldered Bat,,Unknown,,
Vespertilionidae,Pipistrellus,tenuis,Pipistrellus tenuis,Least Pipistrelle,,Nonmigratory,NM-Bisson; Mohan et al 2022 also suggests NM,Bisson et al. 2009; Mohan et al 2022
Molossidae,Mops,spurrelli,Mops spurrelli,Spurrell's Free-tailed Bat,,Unknown,,
Vespertilionidae,Barbastella,barbastellus,Barbastella barbastellus,Western Barbastelle,,Migratory/Nonmigratory,"RM in Europe - Fleming 2003, NM - Bisson 2009, RM - Hutterer 2005/McGuire & Ratcliffe; mig - W&M2022",Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; Hutterer et al. 2005; Webber & McGuire 2022
Phyllostomidae,Carollia,perspicillata,Carollia perspicillata,Seba's Short-tailed Bat,,Migratory/Nonmigratory,"NM - Moussy, B&B, P&T; mig-W&M2022; nm-Medellin; mig-Fleming 1988",Moussy 2013; Burns & Broder 2014; Pedro & Taddei 2002; Webber & McGuire 2022; Medellin 2003; Fleming 1988
Phyllostomidae,Choeroniscus,godmani,Choeroniscus godmani,Godman's Long-tongued Bat,,Nonmigratory,NM - Medellin 2003,Medellin 2003
Vespertilionidae,Myotis,yumanensis,Myotis yumanensis,Yuma Myotis,,Migratory/Nonmigratory,"Potential altitudinal mig - McGuire/Boyle; NM - Bisson, mig-W&M2022, mig-Medellin",McGuire & Boyle 2013; Bisson et al 2009; Webber & McGuire 2022; Medellin 2003
Vespertilionidae,Neoeptesicus,furinalis,Neoeptesicus furinalis,Argentinian Brown Bat,,Nonmigratory,"NM - Bisson, nm-Medellin",Bisson et al. 2009; Medellin 2003
Vespertilionidae,Scotorepens,balstoni,Scotorepens balstoni,Western Broad-nosed Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Nycteridae,Nycteris,grandis,Nycteris grandis,Large Slit-faced Bat,,Nonmigratory,NM - M&R2011,McGuire & Ratcliffe 2011
Molossidae,Eumops,glaucinus,Eumops glaucinus,Wagner's Bonneted Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Rhinolophidae,Rhinolophus,mehelyi,Rhinolophus mehelyi,Mehely's Horseshoe Bat,,Nonmigratory,"NM - Hutterer, NM - Fleming 2003; nm-W&M2022",Fleming 2003; Hutterer et al. 2005; https://www.batmonitoring.org/en/species/rhinolophus-mehelyi/; Webber & McGuire 2022
Rhinolophidae,Rhinolophus,clivosus,Rhinolophus clivosus,Geoffroy's Horseshoe Bat,,Nonmigratory,Voigt et al 2014 - mentions it is sedentery,Voigt et al 2014
Phyllostomidae,Glossophaga,longirostris,Glossophaga longirostris,Miller's Long-tongued Bat,,Nonmigratory,NM -both sources,Moussy 2013; Burns & Broder 2014
Phyllostomidae,Vampyrodes,major,Vampyrodes major,Greater Stripe-faced Bat,,Unknown,,
Rhinolophidae,Rhinolophus,ferrumequinum,Rhinolophus ferrumequinum,Greater Horseshoe Bat,,Potential Migrant/Nonmigratory,"NM in Europe - Fleming 2003, Hutterer mentions they could be a facultative migrant?, sedentery - McGuire & Ratcliffe, NM - Moussy, NM-B&B2014, NM-Burland & Wilmer 2001; nm-W&M2022",Fleming 2003; Moussy 2013; Burns & Broder 2014; https://www.batmonitoring.org/en/species/rhinolophus-ferrumequinum/; Hutterer et al. 2005; Burland & Wilmer 2001; Webber & McGuire 2022
Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,Leschenault's Rousette,,Potential Migrant/Nonmigratory,"NM, unknown in Moussy 2013; Aeshita et al 2006 suggests possible migration, NM-B&B2014",Moussy 2013; Burns & Broder 2014; Aeshita et al 2006
Rhinolophidae,Rhinolophus,simulator,Rhinolophus simulator,Bushveld Horseshoe Bat,,Unknown,,
Vespertilionidae,Myotis,bechsteinii,Myotis bechsteinii,Bechstein's Myotis,,Nonmigratory,NM in Europe - Fleming 2003; NM - Hutterer; NM-B&B2014; NM-Bisson,Fleming 2003; McGuire & Ratcliffe 2011; Burns & Broder 2014; Hutterer et al. 2005; Bisson et al 2009
Natalidae,Natalus,mexicanus,Natalus mexicanus,Mexican Greater Funnel-eared Bat,,Unknown,,
Pteropodidae,Pteropus,scapulatus,Pteropus scapulatus,Little Red Flying Fox,,Migratory,"LD - Burns & Broder 2014, mig - McGuire & Ratcliffe; Vardon & Tidemann mentions long-range mig movements seasonally, species in M&K2001 - mention of partially nomadic in response to food fluctuations, mig - Burland & Wilmer 2001; mig-W&M2022; mig-Ratcliffe 1932",Moussy 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Vardon & Tidemann 1999; Menkhorst & Knight 2001; Burland & Wilmer 2001; Webber & McGuire 2022; Ratcliffe 1932
Phyllostomidae,Mesophylla,macconnelli,Mesophylla macconnelli,MacConnell's Bat,,Unknown,,
Vespertilionidae,Scotorepens,sanborni,Scotorepens sanborni,Northern Broad-nosed Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Rhinolophidae,Rhinolophus,pusillus,Rhinolophus pusillus,Least Horseshoe Bat,,Unknown,,
Molossidae,Ozimops,ridei,Ozimops ridei,Ride's Free-tailed Bat,,Unknown,,
Phyllostomidae,Chiroderma,salvini,Chiroderma salvini,Salvin's Big-eyed Bat,,Potential Migrant/Nonmigratory,Altitudinal mig. suggested in McGuire & Boyle 2013; nm-Medellin,McGuire & Boyle 2013; Medellin 2003
Miniopteridae,Miniopterus,inflatus,Miniopterus inflatus,Greater Long-fingered Bat,,Migratory/Nonmigratory,"Mig - M&R, NM - Bisson",McGuire & Ratcliffe 2011; Bisson et al 2009
Molossidae,Mops,pumilus,Mops pumilus,Little Free-tailed Bat,,Nonmigratory/Potential Migrant,NM - M&R; potential migrant-O&V1980,McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980
Phyllostomidae,Uroderma,magnirostrum,Uroderma magnirostrum,Brown Tent-making Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Vespertilionidae,Myotis,thysanodes,Myotis thysanodes,Fringed Myotis,,Migratory/Nonmigratory,"Potential altitudinal mig - McGuire/Boyle; NM - Bisson; mig-W&M2022, mig-Medellin, mention of alt mig - Adams 2018",McGuire & Boyle 2013; Bisson et al 2009; Webber & McGuire 2022; Medellin 2003
Vespertilionidae,Hypsugo,savii,Hypsugo savii,Savi's Pipistrelle,,Migratory/Nonmigratory,"Not migratory in Italy-Ferri2011; batmonitoring.org mentions some suggestion of partial migration, DD- Hutterer, unknown - Fleming 2003; mig-W&M2022; NM-Bisson",Ferri et al. 2011; Hypsugo savii | UNEP/EUROBATS; https://batslife.eu/item/hypsugo-savii/;https://www.batmonitoring.org/en/species/hypsugo-savii/; Hutterer et al. 2005; Webber & McGuire 2022; Bisson et al 2009
Pteropodidae,Rousettus,aegyptiacus,Rousettus aegyptiacus,Egyptian Rousette,,Migratory/Nonmigratory,"NM, Perdekraal report says lit suggests they may migrate 50-500km, purported NM with documented NM habits - Ossa 2012(also cites Kwiecinski & Griffiths 1999); nm-Burland & Wilmer 2001; mig-W&M2022; MacEwan 2011 report mentions potential migration over ridges",Perdkraal report (Monadjem et al 2010); MacEwan 2011; Ossa et al 2012; Burland & Wilmer 2001; Webber & McGuire 2022
Vespertilionidae,Lasionycteris,noctivagans,Lasionycteris noctivagans,Silver-haired Bat,,Migratory/Nonmigratory,"LD - Bisson/PM in NA; altitudinal mig. suggested in McGuire & Boyle 2013; mig-W&M2022, nm-Medellin; mig- Cryan 2003, mention of alt mig - Adams 2018",Fleming 2019; McGuire & Boyle 2013; Bisson et al. 2009; Clerc et al 2021; McGuire et al 2011; Jonasson & Guglielmo 2017 - sex differences in mig/body comp; Baloun & Guglielmo 2019; Webber & McGuire 2022; Medellin 2003; Cryan 2003; Wieringa et al 2021
Megadermatidae,Lyroderma,lyra,Lyroderma lyra,Greater False Vampire Bat,,Unknown,,
Vespertilionidae,Histiotus,montanus,Histiotus montanus,Small Big-eared Brown Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Phyllostomidae,Carollia,brevicauda,Carollia brevicauda,Silky Short-tailed Bat,,Potential Migrant/Nonmigratory,Altitudinal mig. suggested in McGuire & Boyle 2013; nm-Medellin,McGuire & Boyle 2013; Medellin 2003
Phyllostomidae,Leptonycteris,yerbabuenae,Leptonycteris yerbabuenae,Lesser Long-nosed Bat,,Migratory,"LD-fleming, alt mig suggested - M&B2013; females are both resident/mig & males are nonmig - Zamora-Mejias 2020; mig-Cockrum 1991",Fleming 2019; McGuire & Boyle2013; Burke et al 2019; Zamora-Mejias et al 2020; Cockrum 1991
Vespertilionidae,Neoeptesicus,brasiliensis,Neoeptesicus brasiliensis,Brazilian Brown Bat,,Nonmigratory,"NM - Bisson, nm-Medellin",Bisson et al. 2009; Medellin 2003
Phyllostomidae,Lophostoma,brasiliense,Lophostoma brasiliense,Pygmy Round-eared Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Molossidae,Mops,midas,Mops midas,Midas' Free-tailed Bat,,Unknown,,
Molossidae,Otomops,martiensseni,Otomops martiensseni,Large-eared Giant Mastiff Bat,,Migratory,"LD - Burns & Broder 2014, suggested migration in Hutson 2001 (cites Mutere 1973), also Adams et al 2015 did revised range study; CMS 2020 says only African populations",Burns & Broder 2014; Mutere 1973 - a comparative study of reproduction in two populations of Otomops martiensseni; CMS 2020
Phyllostomidae,Platyrrhinus,lineatus,Platyrrhinus lineatus,White-lined Broad-nosed Bat,,Potential Migrant,mention phenological changes in bat activity - migration could be possible,Pedro & Taddei 2002
Phyllostomidae,Phyllostomus,hastatus,Phyllostomus hastatus,Greater Spear-nosed Bat,,Potential Migrant/Nonmigratory,"Potential alt. migration - McGuire/Boyle; NM - McGuire/Ratcliffe, NM-B&B2014; nm-W&M2022",McGuire & Boyle 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Webber & McGuire 2022
Phyllostomidae,Lonchophylla,robusta,Lonchophylla robusta,Orange Nectar Bat,,Potential Migrant,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013
Rhinolophidae,Rhinolophus,fumigatus,Rhinolophus fumigatus,R&uuml;ppell's Horseshoe Bat,,Unknown,,
Hipposideridae,Hipposideros,cervinus,Hipposideros cervinus,Fawn-colored Leaf-nosed Bat,,Unknown,,
Molossidae,Molossus,currentium,Molossus currentium,Thomas's Mastiff Bat,,Nonmigratory,NM - Louriero et al 2020 says Molossus sp are nonmig & aerial insectivores,Louriero et al 2020 (check citations 26-29)
Phyllostomidae,Dermanura,phaeotis,Dermanura phaeotis,Pygmy Fruit-eating Bat,,Nonmigratory,NM - Medellin 2003,Medellin 2003
Phyllostomidae,Micronycteris,minuta,Micronycteris minuta,Tiny Big-eared Bat,,Unknown,,
Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,Common Pipistrelle,,Migratory,"LD - Bisson, RM - Hutterer et al. 2005; altitudinal mig. suggested in McGuire & Boyle 2013, mig - Moussy, LD-B&B2014; mig - Ahlen2009, mig-W&M2022","Fleming 2003; Bisson et al 2009; Burns & Broder 2014; Ahlen et al. 2009; Hutterer et al. 2005; McGuire & Boyle 2013, Moussy et al 2013; Bryja et al 2008; Webber & McGuire 2022"
Phyllostomidae,Artibeus,lituratus,Artibeus lituratus,Great Fruit-eating Bat,,Potential Migrant/Nonmigratory,Altitudinal mig. suggested in McGuire & Boyle 2013; direct evidence of >100km seasonal travel of female in Arnone et al 2016; nm-Medellin,McGuire & Boyle 2013; Arnone et al 2016; Medellin 2003
Vespertilionidae,Pipistrellus,nanulus,Pipistrellus nanulus,Tiny Pipistrelle,,Nonmigratory,NM,Bisson et al. 2009
Phyllostomidae,Anoura,caudifer,Anoura caudifer,Tailed Tailless Bat,,Potential Migrant,mention phenological changes in bat activity - migration could be possible,Pedro & Taddei 2002
Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,Zenker's Fruit Bat,,Unknown,,
Rhinolophidae,Rhinolophus,hildebrandtii,Rhinolophus hildebrandtii,Hildebrandt's Horseshoe Bat,,Migratory,Mig (presence in May) - O&V1980; mig-CMS2012,O'Shea & Vaughan 1980; CMS 2012
Vespertilionidae,Antrozous,pallidus,Antrozous pallidus,Pallid Bat,,Migratory/Nonmigratory,"NM in NA - Fleming, SD - Bisson 2009, Moussy et al. 2013 says putative migratory; Lack et al. 2010 & cited sources mention migration; W&M2022 - mig; nm-Medellin",Fleming 2019; Bisson et al 2009; Moussy et al. 2013; Lack et al. 2010; Webber & McGuire 2022; Medellin 2003
Phyllostomidae,Leptonycteris,nivalis,Leptonycteris nivalis,Mexican Long-nosed Bat,,Migratory,"LD-fleming, alt mig suggested - M&B2013; mig-Fleming1993(cites two other papers); mig-Medellin; mig-Moreno-Valdez 2004",Fleming 2019; McGuire & Ratcliffe 2011; M&B2013; Fleming et al 1993 (cites Barbour & Davis 1969 & Cockrum 1991); Burke et al 2019; Medellin 2003; Moreno-Valdez et al 2004
Phyllostomidae,Vampyressa,pusilla,Vampyressa pusilla,Southern Little Yellow-eared Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Vespertilionidae,Myotis,septentrionalis,Myotis septentrionalis,Northern Myotis,,Potential Migrant/Nonmigratory,"NM, unknown in Moussy 2013; altitudinal mig. suggested in McGuire & Boyle 2013; NM - B&B2014; Poissant & Broders 2008 mentions they undergo migration",Moussy 2013; Burns & Broder 2014; McGuire & Boyle 2013; Poissant & Broders 2008
Pteropodidae,Cynopterus,horsfieldii,Cynopterus horsfieldii,Horsfield's Short-nosed Fruit Bat,,Nonmigratory,"NM, unknown in Moussy 2013",Moussy 2013; McGuire & Ratcliffe 2011
Phyllostomidae,Phylloderma,stenops,Phylloderma stenops,Pale-faced Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Megadermatidae,Lavia,frons,Lavia frons,Yellow-winged Bat,,Nonmigratory,NM,McGuire & Ratcliffe 2011
Mormoopidae,Pteronotus,parnellii,Pteronotus parnellii,Common Mustached Bat,,Nonmigratory,nm-Medellin2003,Medellin 2003
Phyllostomidae,Platyrrhinus,infuscus,Platyrrhinus infuscus,Buffy Broad-nosed Bat,,Unknown,,
Rhinolophidae,Rhinolophus,affinis,Rhinolophus affinis,Intermediate Horseshoe Bat,,Nonmigratory,"Unknown - Moussy 2013, NM-Burland & Wilmer 2001",Moussy 2013; Burland & Wilmer 2001
Vespertilionidae,Parastrellus,hesperus,Parastrellus hesperus,Canyon Bat,,Potential Migrant/Nonmigratory,Potential altitudinal mig - McGuire/Boyle; NM - Bisson; nm-Medellin,McGuire & Boyle 2013; Bisson et al 2009; Medellin 2003
Vespertilionidae,Myotis,levis,Myotis levis,Yellowish Myotis,,Nonmigratory,"NM - Bisson, nm-W&M2022",Bisson et al. 2009; Webber & McGuire 2022
Molossidae,Mops,condylurus,Mops condylurus,Angolan Free-tailed Bat,,Migratory,Mig - M&R; potential mig-O&V1980,McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980
Emballonuridae,Taphozous,mauritianus,Taphozous mauritianus,Mauritian Tomb Bat,,Migratory/Nonmigratory,"Mig - M&R2011, annual res/PM? - O'Shea & Vaughan; Dunlop 1998 says nonmigratory, mig-W&M2022",McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980; Dunlop 1998; Webber & McGuire 2022
Vespertilionidae,Myotis,californicus,Myotis californicus,Californian Myotis,,Migratory/Nonmigratory,"Potential altitudinal mig - McGuire/Boyle; NM - Bisson, nm-W&M2022; mig-Medellin",McGuire & Boyle 2013; Bisson et al 2009; Webber & McGuire 2022; Medellin 2003
Pteropodidae,Syconycteris,australis,Syconycteris australis,Southern Blossom Bat,,Nonmigratory,"sedentary-M&R2011, species in M&K2001 but no mention of mig/nonmig; nm-W&M2022",McGuire & Ratcliffe 2011; Webber & McGuire 2022
Molossidae,Tadarida,teniotis,Tadarida teniotis,European Free-tailed Bat,,Migratory/Nonmigratory,"DD in Europe - Fleming, NM - Hutterer 2005; nm-W&M2022; mig-CMS2020",Fleming 2003; Hutterer et al. 2005; Webber & McGuire 2022; CMS 2020
Vespertilionidae,Vespadelus,pumilus,Vespadelus pumilus,Eastern Forest Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Vespertilionidae,Rhogeessa,parvula,Rhogeessa parvula,Little Yellow Bat,,Nonmigratory,NM - Bisson; nm-Medellin,Bisson et al. 2009; Medellin 2003
Rhinolophidae,Rhinolophus,swinnyi,Rhinolophus swinnyi,Swinny's Horseshoe Bat,,Unknown,,
Vespertilionidae,Corynorhinus,rafinesquii,Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,,Nonmigratory,NM in NA - Fleming; NM-Bisson,Fleming 2019; Bisson et al 2009
Hipposideridae,Hipposideros,galeritus,Hipposideros galeritus,Cantor's Leaf-nosed Bat,,Unknown,,
Hipposideridae,Hipposideros,ater,Hipposideros ater,Dusky Leaf-nosed Bat,,Unknown,,
Mormoopidae,Pteronotus,davyi,Pteronotus davyi,Davy's Naked-backed Bat,,Nonmigratory,"NM - B&B2014, unknown in Moussy 2013; nm-Medellin",Moussy 2013; Burns & Broder 2014; Medellin 2003
Noctilionidae,Noctilio,leporinus,Noctilio leporinus,Greater Bulldog Bat,,Nonmigratory,NM - M&R2011; nm-W&M2022; nm-Medellin,McGuire & Ratcliffe 2011; Webber & McGuire 2022; Medellin 2003
Emballonuridae,Coleura,afra,Coleura afra,African sheath-tailed bat,,Nonmigratory,NM - M&R2011,McGuire & Ratcliffe 2011
Phyllostomidae,Rhinophylla,fischerae,Rhinophylla fischerae,Fischer's Little Fruit Bat,,Unknown,,
Vespertilionidae,Kerivoula,hardwickii,Kerivoula hardwickii,Hardwicke's Woolly Bat,,Nonmigratory,NM - Bisson,Bisson et al. 2009
Phyllostomidae,Dermanura,gnoma,Dermanura gnoma,Dwarf Fruit-eating Bat,,Unknown,,
Molossidae,Nyctinomops,macrotis,Nyctinomops macrotis,Big Free-tailed Bat,,Migratory,"Local/LD migrant - Banfield 1974, Kunirai & Jones 1990; mig-W&M2022; mig-Medellin",Banfield 1974; Kunirai & Jones 1990; Webber & McGuire 2022; https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101410/Nyctinomops_macrotis; Medellin 2003
Phyllostomidae,Dermanura,bogotensis,Dermanura bogotensis,Bogot&aacute; Fruit-eating Bat,,Unknown,,
Vespertilionidae,Nyctophilus,geoffroyi,Nyctophilus geoffroyi,Lesser Long-eared Bat,,Potential Migrant/Nonmigratory,"Potential altitudinal migration - M&B2013, Nonmigratory - Bisson",Bisson et al. 2009; McGuire & Boyle 2013
