"Latin.Name","summer_tif","winter_tif","D","I","rank.corr","sum_lon","sum_lat","win_lon","win_lat","distance","bearing"
"Miniopterus australis","./Summer_SDMs_redone/Miniopterus australis_summer.tif","./Winter_SDMs_redone/Miniopterus australis.tif",0.258697304869187,0.506705559367931,0.0416650762122903,65.5562876503099,-4.96389318771199,89.6043544956474,-16.8032567976914,2932023.90632232,-66.2166213929042
"Miniopterus gleni","./Summer_SDMs_redone/Miniopterus gleni_summer.tif","./Winter_SDMs_redone/Miniopterus gleni.tif",0.366459895869486,0.590717089048603,0.0613151510672634,44.9156623554772,-16.6357044875563,45.4473753577346,-18.3245311793945,195254.739070031,-16.8924126209084
"Miniopterus inflatus","./Summer_SDMs_redone/Miniopterus inflatus_summer.tif","./Winter_SDMs_redone/Miniopterus inflatus.tif",0.202777586052111,0.434375326988537,0.17784992757779,24.0826903932305,3.45134960857957,25.6092953489977,-1.59152336675902,582915.656391022,-16.940848828003
"Miniopterus manavi","./Summer_SDMs_redone/Miniopterus manavi_summer.tif","./Winter_SDMs_redone/Miniopterus manavi.tif",0.568025049096617,0.705124111944727,-0.0873500154385084,45.0989657631954,-19.4753328578222,46.4299753216993,-19.3433699101005,140559.160608644,-96.186235494139
"Miniopterus natalensis","./Summer_SDMs_redone/Miniopterus natalensis_summer.tif","./Winter_SDMs_redone/Miniopterus natalensis.tif",0.287214039486581,0.461487382841239,0.309434998891611,27.3554436958111,-13.8760406873498,29.8470604099245,-14.8302521574973,288751.322824218,-68.8661522588637
"Miniopterus schreibersii","./Summer_SDMs_redone/Miniopterus schreibersii_summer.tif","./Winter_SDMs_redone/Miniopterus schreibersii.tif",0.614351574298385,0.702757161903979,0.581542657536421,64.6796390476599,28.8504919965112,56.9274706194707,19.49885173827,1300403.56919285,35.7306783546631
"Miniopterus tristis","./Summer_SDMs_redone/Miniopterus tristis_summer.tif","./Winter_SDMs_redone/Miniopterus tristis.tif",0.212039910594718,0.356271433927124,0.289614912324667,128.734074129502,4.05840317270279,122.581200227531,10.86106370876,1013269.06839192,137.480922216255
"Molossops temminckii","./Summer_SDMs_redone/Molossops temminckii_summer.tif","./Winter_SDMs_redone/Molossops temminckii.tif",0.508201708441898,0.652301713420374,0.242535245031662,-59.2968282162339,-13.1966755448401,-57.7322791658854,-13.0891950278142,170048.006861518,-94.1873564342295
"Molossus coibensis","./Summer_SDMs_redone/Molossus coibensis_summer.tif","./Winter_SDMs_redone/Molossus coibensis.tif",0.539354023477025,0.73266532838381,0.304185043709031,-63.9196463543642,-3.93069845514238,-63.751377645706,-3.68626111509603,32862.4060463721,-145.342445548971
"Molossus currentium","./Summer_SDMs_redone/Molossus currentium_summer.tif","./Winter_SDMs_redone/Molossus currentium.tif",0.751946034326012,0.805707337920118,0.582842191833121,-66.8429058376284,0.129763152229984,-64.2637828000914,-3.90965722826112,530862.270855573,-32.7704410383193
