Latin Name,Common Name,Status,Fig_stat,Colors,Additional migration info,Source,Mig Status (based on Fleming & Eby 2003),sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Emballonura monticola,Lesser Sheath-tailed Bat,Migratory,Migratory,Migratory,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,Short-distance Migrant,112.5159945,4.95100566,114.0458493,3.279921021,250996.7858,250.9967858,-42.53849178,0.169221423,0.303030962,0.143110341
Emballonura semicaudata,Polynesian Sheath-tailed Bat,Migratory,Migratory,Migratory,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,
Saccolaimus flaviventris,Yellow-bellied Pouched Bat,Migratory,Migratory,Migratory,"Potential migrant - Bonaccorso, Dunlop says known to migrate",Bonaccorso 2019; Dunlop 1998; https://animalia.bio/yellow-bellied-sheath-tailed-bat?property=76,Short-distance Migrant,137.7735075,-24.91014925,141.5760327,-24.68670085,385272.2403,385.2722403,-94.47964186,0.545980496,0.669839186,0.402978588
Taphozous melanopogon,Black-bearded Tomb Bat,Migratory,Migratory,Migratory,"Mig - M&R2011, animalia.bio says nonmigratory but provides no evidence",McGuire & Ratcliffe 2011; https://animalia.bio/black-bearded-tomb-bat,Short-distance Migrant,94.13463064,19.81495015,91.86153039,17.61570843,341651.1315,341.6511315,44.20339333,0.256331426,0.500644839,0.406283954
Taphozous nudiventris,Naked-rumped Tomb Bat,Migratory,Migratory,Migratory,mig- W&M2022,Webber & McGuire 2022,,,,,,,,,,,
Asellia tridens,Geoffroy's Trident Leaf-nosed Bat,Migratory,Migratory,Migratory,potential migrant - Harrison; mig-W&M2022,Harrison 1957; Owens & Qumsiyeh 1986; Webber & McGuire 2022,Long-distance Migrant,33.36190625,32.13254779,23.12089344,24.03994529,1346728.704,1346.728704,45.97572357,0.081617486,0.271255617,0.071663048
Hipposideros lankadiva,Indian Leaf-nosed Bat,Migratory,Migratory,Migratory,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,
Macronycteris commersonii,Commerson's Leaf-nosed Bat,Migratory,Migratory,Migratory,"partial migrant? - O'Shea & Vaughan, evidence of migration - Hutson 2001",Rakotoarivelo et al 2019; O'Shea & Vaughan 1980; https://animalia.bio/commersons-roundleaf-bat?property=76; see Hutson et al 2001 about M.B. Fenton personal communication; ,Long-distance Migrant,20.9889254,2.273226134,29.69633475,-13.91988973,2032410.036,2032.410036,-28.87433757,0.181830071,0.325633888,0.016722075
Macronycteris vittata,Striped Leaf-nosed Bat,Migratory,Migratory,Migratory,local seasonal migrations assoc. with prey fluc - Rakotoarivelo et al 2019,Rakotoarivelo et al 2019,,,,,,,,,,,
Miniopterus australis,Little Long-fingered Bat,Migratory,Migratory,Migratory,Mig - M&R; mig-W&M2022; animalia.bio says nonmigratory but provides no evidence,McGuire & Ratcliffe 2011; Webber & McGuire 2022; https://animalia.bio/little-bent-wing-bat,Long-distance Migrant,65.55628765,-4.963893188,89.6043545,-16.8032568,2932023.906,2932.023906,-66.21662139,0.258697305,0.506705559,0.041665076
Miniopterus inflatus,Greater Long-fingered Bat,Migratory,Migratory,Migratory,Mig - M&R,McGuire & Ratcliffe 2011,Short-distance Migrant,24.08269039,3.451349609,25.60929535,-1.591523367,582915.6564,582.9156564,-16.94084883,0.202777586,0.434375327,0.177849928
Miniopterus natalensis,Natal Long-fingered Bat,Migratory,Migratory,Migratory,"PM? - O'Shea & Vaughan, Mig - Moussy; SD - B&B2014; MacEwan 2011 report mentions migration over ridges; Voigt et al 2014 - evidence of alt mig",Moussy 2013; Pretorius 2021; O'Shea & Vaughan 1980; Burns & Broders 2014; MacEwan 2011; Voigt et al 2014,Short-distance Migrant,27.3554437,-13.87604069,29.84706041,-14.83025216,288751.3228,288.7513228,-68.86615226,0.287214039,0.461487383,0.309434999
Miniopterus orianae,Oriana's Long-fingered Bat,Migratory,Migratory,Migratory,"long term study on migration to/from maternity colonies - Mills2021, seasonal mig btw maternity & roosting areas - van Harten2022; http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76606",Mills 2021; van Harten et al 2022,,,,,,,,,,,
Miniopterus schreibersii,Schreiber's Long-fingered Bat,Migratory,Migratory,Migratory,"RM in Europe - Fleming; PM? - O'Shea & Vaughan; Dwyer 1969 recorded movements of 1300km; RM - Hutterer et al. 2005, disperse 300km around maternity roost - Eco Logical Australia 2012, LD - Bisson, Mig - Moussy, mig - M&R, LD-B&B2014, Wright2020 confirmed with H isotopes",Fleming 2003; McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980; see Hutson et al 2001; Burns & Broders 2014; Hutterer et al. 2005; Eco Logical Australia 2012; Rodrigues & Palmeirim 2008; Bisson et al. 2009; Moussy et al. 2013; Piksa & Gubala 2021; Wright et al 2020,Long-distance Migrant,64.67963905,28.850492,56.92747062,19.49885174,1300403.569,1300.403569,35.73067835,0.614351574,0.702757162,0.581542658
Austronomus australis,White-striped Free-tailed Bat,Migratory,Migratory,Migratory,"potentially migratory - Hourigan et al 2006, seasonal migrant - Menkhorst & Knight 2011",Hourigan et al. 2006; Menkhorst & Knight 2011; https://animalia.bio/white-striped-free-tailed-bat?property=76,Short-distance Migrant,135.9708986,-30.0024138,139.0090609,-30.33892222,294996.6944,294.9966944,-83.50075061,0.5295681,0.636585527,0.363536574
Mops condylurus,Angolan Free-tailed Bat,Migratory,Migratory,Migratory,Mig - M&R,McGuire & Ratcliffe 2011,Short-distance Migrant,23.31133641,1.116964872,21.72674824,-2.776617255,465247.5904,465.2475904,22.29415536,0.473592269,0.595502549,0.264762635
Nyctinomops macrotis,Big Free-tailed Bat,Migratory,Migratory,Migratory,"Local/LD migrant - Banfield 1974, Kunirai & Jones 1990; mig-W&M2022",Banfield 1974; Kunirai & Jones 1990; Webber & McGuire 2022; https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101410/Nyctinomops_macrotis,Short-distance Migrant,-84.50053617,17.42870385,-87.02642599,20.4614252,428308.0938,428.3080938,141.1848249,0.381883115,0.608720943,0.127956965
Otomops martiensseni,Large-eared Giant Mastiff Bat,Migratory,Migratory,Migratory,"LD - Burns & Broder 2014, suggested migration in Hutson 2001 (cites Mutere 1973), also Adams et al 2015 did revised range study",Burns & Broder 2014; Mutere 1973 - a comparative study of reproduction in two populations of Otomops martiensseni,Short-distance Migrant,36.67916667,-2.309722222,33.78115743,-6.258897373,542370.0551,542.3700551,36.49781828,0.005640398,0.070585775,0.060545909
Choeronycteris mexicana,Mexican Long-tongued Bat,Migratory,Migratory,Migratory,"LD in NA - fleming2019, suggested alt migration - flower pollination (M&B2013), mig-Fleming1993 (cites two other papers); mig-W&M2022",Fleming 2019; McGuire & Boyle 2013; Fleming et al 1993 (cites Barbour & Davis 1969 & Cockrum 1991); Burke et al 2019; Webber & McGuire 2022,Nonmigratory,-103.1065917,27.35040359,-103.3609739,26.96543079,49551.50701,49.55150701,30.52795342,0.518839264,0.632897113,0.499041939
Leptonycteris curasoae,Cura&ccedil;aoan Long-nosed Bat,Migratory,Migratory,Migratory,"LD/PM in NA-fleming, LD - B&B2014; migrant or partial migrant- Fleming1993","Fleming 2019; McGuire & Ratcliffe 2011; Burns & Broder 2014, Moussy et al 2013; Fleming et al 1993 (cites Barbour & Davis 1969 & Cockrum 1991); Horner et al 1998; Caballos et al. 1997",Long-distance Migrant,-99.27871588,25.74936313,-86.36781166,18.77532308,1537175.351,1537.175351,-57.5340541,0.177861238,0.350623415,0.17504361
Leptonycteris nivalis,Mexican Long-nosed Bat,Migratory,Migratory,Migratory,"LD-fleming, alt mig suggested - M&B2013; mig-Fleming1993(cites two other papers)",Fleming 2019; McGuire & Ratcliffe 2011; M&B2013; Fleming et al 1993 (cites Barbour & Davis 1969 & Cockrum 1991); Burke et al 2019,Short-distance Migrant,-103.8583592,26.74229853,-102.0928874,22.45320972,507598.2703,507.5982703,-20.26195491,0.503915475,0.612775387,0.470699329
Leptonycteris yerbabuenae,Lesser Long-nosed Bat,Migratory,Migratory,Migratory,"LD-fleming, alt mig suggested - M&B2013",Fleming 2019; McGuire & Boyle2013; Burke et al 2019,Short-distance Migrant,-99.77806431,27.20312616,-101.2017298,22.36062658,555370.8918,555.3708918,14.73048333,0.337988437,0.565829939,0.381785176
Pygoderma bilabiatum,Ipanema Broad-nosed Bat,Migratory,Migratory,Migratory,"Altitudinal mig. suggested in McGuire & Boyle 2013, Esberard 2011 provides evidence",McGuire & Boyle 2013; Esberard et al 2011 evidence of vert mig. in Ipanema bat; https://animalia.bio/ipanema-bat?property=76,Short-distance Migrant,-56.76216727,-18.53680378,-55.19459236,-25.58432434,796952.9973,796.9529973,-12.01626742,0.084610391,0.290103182,0.218611905
Eidolon helvum,African Straw-colored Fruit Bat,Migratory,Migratory,Migratory,"LD (up to 1500km), migratory, purported migratory - Ossa2012; mig - Thomas1983, satellite telemetry & distances - Richter & Cumming 2008","Fleming 2019; McGuire & Ratcliffe 2011; Hurme et al. 2022; Richter & Cumming 2008, Moussy et al 2013; Ossa et al 2012; Thomas 1983",Short-distance Migrant,21.71994505,1.236774518,20.44749661,-0.372905372,227468.745,227.468745,38.51011239,0.521692765,0.703799374,0.309652464
Myonycteris torquata,Little Collared Fruit Bat,Migratory,Migratory,Migratory,"LD (up to 1500km), mig-McGuire & Ratcliffe; mig from dry to wet zones - Thomas 1983",Fleming 2019; McGuire & Ratcliffe 2011; Thomas 1983,Short-distance Migrant,14.95467691,4.166214391,13.37160245,1.455101053,347632.5167,347.6325167,30.38390949,0.557631155,0.720003585,0.457627526
Nanonycteris veldkampii,Veldkamp's Dwarf Epauletted Fruit Bat,Migratory,Migratory,Migratory,LD (up to 1500km) - Fleming; migrates btw wet & dry zones - Thomas 1983,Fleming 2019; https://animalia.bio/veldkamps-dwarf-epauletted-fruit-bat?property=76; mentioned in Hurme et al. 2022; Thomas 1983,Nonmigratory,4.167711116,6.594522635,3.834023589,5.981858664,77161.11334,77.16111334,28.57132244,0.361441098,0.561509303,0.420767216
Pteropus alecto,Black Flying Fox,Migratory,Migratory,Migratory,"LD - Burns & Broder 2014, mig - McGuire & Ratcliffe, movements of <133km/evidence of differential or partial migration - Vardon & Tidemann 1999",Moussy 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Vardon & Tidemann 1999,Nonmigratory,140.0790734,-21.82286089,139.3190276,-21.98617011,80591.21292,80.59121292,77.17555344,0.590250702,0.714253945,0.649549095
Pteropus poliocephalus,Gray-headed Flying Fox,Migratory,Migratory,Migratory,SD - Burns & Broder 2014; govt doc says migratory; mig - McGuire & Ratcliffe; Vardon & Tidemann 1999 mentions possible partial migration,Moussy 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Australia govt document for survey guidelines; Vardon & Tidemann 1999,Short-distance Migrant,147.4960076,-34.29533131,148.3255155,-33.67797043,102780.345,102.780345,-132.0102991,0.615495828,0.704927087,0.664698774
Pteropus scapulatus,Little Red Flying Fox,Migratory,Migratory,Migratory,"LD - Burns & Broder 2014, mig - McGuire & Ratcliffe; Vardon & Tidemann mentions long-range mig movements seasonally",Moussy 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; Vardon & Tidemann 1999,Short-distance Migrant,137.6995396,-24.89131772,143.642264,-25.08527779,600311.4853,600.3114853,-89.20706038,0.384559199,0.583595641,0.428371221
Rhinolophus hildebrandtii,Hildebrandt's Horseshoe Bat,Migratory,Migratory,Migratory,Mig,O'Shea & Vaughan 1980,Short-distance Migrant,31.83001493,-7.858308012,27.59924076,-9.744787798,510059.7689,510.0597689,66.18991415,0.225969395,0.468894566,0.400740399
Rhinolophus landeri,Lander's Horseshoe Bat,Migratory,Migratory,Migratory,Mig - McGuire & Ratcliffe,"O'Shea & Vaughan 1980, McGuire & Ratcliffe 2011",Short-distance Migrant,22.46396615,-2.331774637,21.61383611,-0.672849194,206392.7407,206.3927407,152.7283029,0.889636561,0.898551251,0.351722059
Triaenops persicus,Persian Trident Bat,Migratory,Migratory,Migratory,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,
Rhinopoma microphyllum,Greater Mouse-tailed Bat,Migratory,Migratory,Migratory,Mig - McGuire & Ratcliffe 2011,"McGuire & Ratcliffe 2011, https://animalia.bio/greater-mouse-tailed-bat?property=76",Long-distance Migrant,60.76011415,29.23571112,42.63142641,30.31781907,1755305.98,1755.30598,89.35108233,0.147971061,0.240425484,0.213036535
Euderma maculatum,Spotted Bat,Migratory,Migratory,Migratory,mig - Webber & McGuire2022,Webber & McGuire 2022,,,,,,,,,,,
Lasionycteris noctivagans,Silver-haired Bat,Migratory,Migratory,Migratory,LD - Bisson/PM in NA; altitudinal mig. suggested in McGuire & Boyle 2013; mig-W&M2022,Fleming 2019; McGuire & Boyle 2013; Bisson et al. 2009; Clerc et al 2021; McGuire et al 2011; Jonasson & Guglielmo 2017 - sex differences in mig/body comp; Baloun & Guglielmo 2019; Webber & McGuire 2022,Short-distance Migrant,-101.944938,44.55745255,-99.02128886,39.98808766,561849.7089,561.8497089,-24.44314623,0.521637399,0.55097749,0.236740873
Lasiurus blossevillii,Southern Red Bat,Migratory,Migratory,Migratory,"suggested altitudinal migration - M&B2013, natureserve has some sources for evidence of migration","McGuire & Boyle 2013; LD & local migrant - https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102668/Lasiurus_blossevillii, https://animalia.bio/desert-red-bat?property=76",Long-distance Migrant,-78.45904852,10.06837349,-76.51562473,-0.263151048,1162616.404,1162.616404,-10.61589508,0.169657961,0.385180088,0.261706137
Lasiurus borealis,Eastern Red Bat,Migratory,Migratory,Migratory,"LD - Bisson, mig - M&R2011, mig-W&M2022; mig-Medellin; mig - CMS2020; mig-Cryan 2003",Fleming 2019; McGuire & Ratcliffe 2011; Bisson et al 2009; Rojas-Herrera et al 2023; Webber & McGuire2022; Medellin 2003; CMS 2020; Cryan 2003,Long-distance Migrant,-90.54848417,36.32491873,-80.75574791,14.01878703,2657109.324,2657.109324,-19.82062008,0.447545949,0.513642944,0.407636821
Lasiurus cinereus,Hoary Bat,Migratory,Migratory,Migratory,LD/PM in NA; altitudinal mig. suggested in McGuire & Boyle 2013; mig - W&M2022,Fleming 2019; Bisson et al 2009; McGuire & Boyle 2013; Weller et al 2016 - first direct evidence of LD movements & hibernation; Clerc et al 2021; Rojas-Herrera et al 2023; Webber & McGuire 2022,Long-distance Migrant,-100.8951292,39.99575934,-85.49548535,14.90495943,3158884.053,3158.884053,-25.38413804,0.404480731,0.414447402,0.183237514
Lasiurus intermedius,Northern Yellow Bat,Migratory,Migratory,Migratory,LD - Bisson; mig- W&M2022,Bisson et al. 2009; Rojas-Herrera et al 2023; Webber & McGuire 2022,Short-distance Migrant,-87.91800464,27.91350935,-91.61998223,27.10534259,376554.2229,376.5542229,75.39196005,0.443919338,0.44625872,0.386476508
Lasiurus seminolus,Seminole Bat,Migratory,Migratory,Migratory,LD - Bisson; mig- W&M2022,Bisson et al. 2009; Webber & McGuire 2022,Nonmigratory,-88.13831674,30.97192184,-87.98023933,30.78884217,25307.7195,25.3077195,-36.63502454,0.599511446,0.736021644,0.704633389
Myotis blythii,Lesser Mouse-eared Myotis,Migratory,Migratory,Migratory,"RM in Europe - Hutterer, SD - Bisson; mig-W&M2022",Fleming 2003; Bisson et al 2009; Hutterer et al. 2005; https://www.batmonitoring.org/en/species/myotis-blythii/; Moussy et al 2013; Webber & McGuire 2022,Short-distance Migrant,17.76811664,41.55943698,9.738934923,45.33632155,773044.2624,773.0442624,120.0355047,0.298949259,0.412721601,0.372056045
Myotis brandtii,Brandt's Myotis,Migratory,Migratory,Migratory,"SD - Bisson; RM - Hutterer, RM, M&B2013 - potential alt migrant; SD-B&B2014","Bisson et al. 2009, Hutterer et al. 2005, M&B2013",,,,,,,,,,,
Myotis chiloensis,Chilean Myotis,Migratory,Migratory,Migratory,mig - W&M2022,Webber & McGuire 2022,,,,,,,,,,,
Myotis dasycneme,Pond Myotis,Migratory,Migratory,Migratory,"RM in Europe - Hutterer; SD - Bisson, RM - Fleming 2003, migrant - Ahlen2009, mig-W&M2022",Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; Ahlen et al. 2009; Hutterer et al. 2005; Haarsma et al. 2019; Webber & McGuire 2022,Long-distance Migrant,32.49918217,53.90443053,9.073354325,51.7249389,1590463.977,1590.463977,72.00988971,0.188067711,0.432513562,0.345321989
Myotis grisescens,Gray Myotis,Migratory,Migratory,Migratory,"SD - Bisson, >500km mentioned in Hutson 2001; mig-W&M2022",Bisson et al. 2009; Hutson 2001; Webber & McGuire 2022,Short-distance Migrant,-86.52501162,35.61169814,-89.31548496,36.53311848,271351.8782,271.3518782,111.3075585,0.344084659,0.586542639,0.503122614
Myotis lucifugus,Little Brown Myotis,Migratory,Migratory,Migratory,Mig - McGuire/Ratcliffe; SD - Bisson/Burns & Broder; altitudinal mig. suggested in McGuire & Boyle 2013; mig-W&M2022; mig-Medellin; mig-F&E2003,McGuire & Ratcliffe 2011; Bisson et al 2009; https://en.wikipedia.org/wiki/Little_brown_bat; Burns & Broder 2014; McGuire & Boyle 2013; Davis & Hitchcock 1965; Webber & McGuire 2022; Medellin 2003; Fleming & Eby 2003,Short-distance Migrant,-100.1592342,45.84117169,-97.60612117,44.79426471,231528.452,231.528452,-58.93129529,0.712239383,0.759204075,0.580623751
Myotis myotis,Mouse-eared Myotis,Migratory,Migratory,Migratory,"RM in Europe - Fleming 2003; SD - Bisson/Burns & Broder, RM - Hutterer et al. 2005; altitudinal mig. suggested in McGuire & Boyle 2013, mig - Moussy et al 2013, mig-W&M2022; mig - Burland & Wilmer 2001","Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; Burns & Broder 2014; Hutterer et al. 2005; https://www.batmonitoring.org/en/species/myotis-myotis/; McGuire & Boyle 2013, Moussy et al 2013; Webber & McGuire 2022; Burland & Wilmer 2001",Short-distance Migrant,20.4297955,47.65546575,8.907001024,48.06390802,862609.2983,862.6092983,88.72621329,0.420803646,0.628912091,0.561706206
Myotis mystacinus,Whiskered Myotis,Migratory,Migratory,Migratory,"RM in Europe - Fleming 2003; SD - Bisson/Burns & Broder, RM - Hutterer et al. 2005; altitudinal mig. suggested in McGuire & Boyle 2013; mig-W&M2022",Fleming 2003; Bisson et al 2009; https://animalia.bio/whiskered-bat; Burns & Broder 2014; Hutterer et al. 2005; McGuire & Boyle 2013; Webber & McGuire 2022,Long-distance Migrant,23.17013305,52.23153321,7.371521292,50.48779504,1115061.342,1115.061342,73.8783812,0.381889759,0.602529273,0.578471133
Myotis sodalis,Indiana Myotis,Migratory,Migratory,Migratory,over 500km (mentioned in Hutson 2001); SD - Bisson; Roby et al 2019 - multiyear study of mig behavior w/ distances traveled; mig-W&M2022,"Moussy 2013, Kurta 2002; Bisson et al 2009, Hutson 2001; Roby et al 2019; Webber & McGuire 2022",Short-distance Migrant,-86.44276256,39.05698412,-82.02372685,38.9582382,382883.3816,382.8833816,-86.96917488,0.391063546,0.59106727,0.489805383
Nyctalus leisleri,Leisler's Noctule,Migratory,Migratory,Migratory,"LD - Fleming 2003; altitudinal mig. suggested in McGuire & Boyle 2013; mig-Ahlen2009, mig-W&M2022; LD mig-Hutterer",Fleming 2003; Bisson et al 2009; see Caprio et al 2020; Ahlen et al. 2009; Hutterer et al. 2005; McGuire & Boyle 2013; Webber & McGuire 2022,Long-distance Migrant,20.01057426,50.31121902,1.692521813,48.98663563,1327628.645,1327.628645,76.693814,0.2045117,0.448620509,0.406246169
Nyctalus noctula,Noctule,Migratory,Migratory,Migratory,"LD - Bisson, LD - Hutterer, mig - Moussy, LD - Fleming 2003, LD-B&B2014; mig-Ahlen2009, mig-W&M2022","Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; Burns & Broder 2014; Ahlen et al. 2009; Hutterer et al. 2005, Moussy et al 2013; Dechmann et al 2017 - migratory timing; O'Mara et al 2019; Petit & Mayer 2000 - pop gen; Webber & McGuire 2022",Long-distance Migrant,25.22670903,52.05156814,7.985492894,49.72857813,1237215.883,1237.215883,71.35322004,0.341029847,0.549227663,0.510178082
Perimyotis subflavus,Tricolored Bat,Migratory,Migratory,Migratory,"RM in Europe; altitudinal mig. suggested in McGuire & Boyle 2013; SD - Bisson, Smith et al 2022 shows evidence of both short and long mig movements; mig-W&M2022",Fleming 2019; McGuire & Ratcliffe 2011; McGuire & Boyle 2013; Smith et al 2022; Bisson et al. 2009; Webber & McGuire 2022,Short-distance Migrant,-87.87464831,35.51583661,-88.63444139,37.03476922,181845.3429,181.8453429,157.7248489,0.714299249,0.796002872,0.682580624
Pipistrellus pipistrellus,Common Pipistrelle,Migratory,Migratory,Migratory,"LD - Bisson, RM - Hutterer et al. 2005; altitudinal mig. suggested in McGuire & Boyle 2013, mig - Moussy, LD-B&B2014; mig - Ahlen2009, mig-W&M2022","Fleming 2003; Bisson et al 2009; Burns & Broder 2014; Ahlen et al. 2009; Hutterer et al. 2005; McGuire & Boyle 2013, Moussy et al 2013; Bryja et al 2008; Webber & McGuire 2022",Short-distance Migrant,12.36155439,50.47368794,5.303160054,49.17502955,527803.4972,527.8034972,71.44571876,0.552811338,0.688574077,0.608521693
Pipistrellus pygmaeus,Soprano Pipistrelle,Migratory,Migratory,Migratory,"SD - Burns & Broder 2014; partial migrant - Ahlen 2009, putative migratory - Moussy 2013; DD - Hutterer",Moussy 2013; Burns & Broder 2014; Ahlen et al. 2009; Hutterer et al. 2005; Bryja et al 2008,Short-distance Migrant,15.72553879,52.56353927,5.384362241,51.27967349,724977.6935,724.9776935,74.6023996,0.436845595,0.643039569,0.5385571
Vespertilio murinus,Particolored Bat,Migratory,Migratory,Migratory,"LD/PM in Europe; altitudinal mig. suggested in McGuire & Boyle 2013, mig - Moussy, LD - Fleming 2003, mig-Ahlen2009, mig-W&M2022","Fleming 2019/2003; Bisson et al 2009; Ahlen et al. 2009; Hutterer et al. 2005; McGuire & Boyle 2013; Dietz & Kiefer 2016, Moussy et al 2013; Webber & McGuire 2022",Long-distance Migrant,43.98652779,53.37216746,10.36073943,50.87307428,2298028.516,2298.028516,69.89475369,0.167180604,0.404052979,0.360247232
Taphozous mauritianus,Mauritian Tomb Bat,Migratory/Nonmigratory,Migratory,Migratory,"Mig - M&R2011, PM? - O'Shea & Vaughan, animalia.bio says nonmigratory but provides no evidence; Dunlop 1998 says nonmigratory, mig-W&M2022",McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980; Dunlop 1998; https://animalia.bio/mauritian-tomb-bat; Webber & McGuire 2022,Short-distance Migrant,25.11670607,-1.223467511,23.15847063,-4.90162074,461293.2061,461.2932061,28.21474159,0.364413071,0.566876608,0.370795141
Macronycteris gigas,Giant Leaf-nosed Bat,Migratory/Nonmigratory,Migratory,Migratory,"NM - Moussy et al 2013, Rakotoarivelo et al 2019 mentions local seasonal migrations (see the papers they cite too)",Moussy et al 2013; Rakotoarivelo et al 2019 (also look at papers they cite),,,,,,,,,,,
Tadarida brasiliensis,Brazilian Free-tailed Bat,Migratory/Nonmigratory,Migratory,Migratory,"LD/PM in NA; altitudinal mig. suggested in McGuire & Boyle 2013, Moussy has some subspecies as migratory, others as NM; LD-B&B2014;  partial migrant - Cockrum 1969, mig-W&M2022, mig-Burland & Wilmer 2001; model mig routes - Weiderholt2013; mig-Medellin; mig-Cockrum 1969","Fleming 2019; Burns & Broder 2014; McGuire & Boyle 2013, Moussy et al 2013; Cockrum 1969; Krauel et al 2018; Webber & McGuire 2022; Burland & Wilmer 2001; Wiederholt 2013; Medellin 2003; Cockrum 1969",Long-distance Migrant,-101.9261565,32.98266342,-86.19070641,12.06312918,2818023.359,2818.023359,-32.18154383,0.506376421,0.555459183,0.428197672
Nycteris thebaica,Egyptian Slit-faced Bat,Migratory/Nonmigratory,Migratory,Migratory,"NM - M&R2011, others mention potential migration; mig-W&M2022","McGuire & Ratcliffe 2011; https://animalia.bio/egyptian-slit-faced-bat?property=76 (says migratory but provides no evidence of it), Monadjem et al. 2009 & Monadjem 2006 mentions possible migration but provides no evidence; Webber & McGuire 2022",Short-distance Migrant,26.31838094,-0.291687316,23.97088494,0.87881938,291610.5072,291.6105072,116.3390471,0.707378815,0.81647156,0.623688782
Artibeus jamaicensis,Jamaican Fruit-eating Bat,Migratory/Nonmigratory,Migratory,Migratory,NM - Moussy et al 2013; mig-W&M2022,Moussy 2013; https://animalia.bio/jamaican-fruit-bat; Webber & McGuire 2022,Long-distance Migrant,-75.69917185,10.46306962,-67.89275841,2.370472419,1243165.411,1243.165411,-43.60856951,0.549430288,0.599447447,0.4171038
Desmodus rotundus,Common Vampire Bat,Migratory/Nonmigratory,Migratory,Migratory,"NM - M&R2011, NM-B&B2014; mig-W&M2022",Moussy 2013; McGuire & Ratcliffe 2011; Burns & Broder 2014; https://animalia.bio/common-vampire-bat; Webber & McGuire 2022,Long-distance Migrant,-71.22526877,6.66304054,-65.27994903,-3.818938688,1334164.064,1334.164064,-29.70106922,0.674661821,0.701971528,0.50745149
Rhinolophus hipposideros,Lesser Horseshoe Bat,Migratory/Nonmigratory,Migratory,Migratory,"NM in Europe - Fleming 2003, NM - McGuire & Ratcliffe; altitudinal mig. suggested in McGuire & Boyle 2013, Aellen 1983 mentions sedentery, Hutterer mentions NM; mig-W&M2022",Fleming 2003; https://animalia.bio/lesser-horseshoe-bat; McGuire & Ratcliffe 2011; https://www.batmonitoring.org/en/species/rhinolophus-hipposideros/; Hutterer et al. 2005; McGuire & Boyle 2013; Webber & McGuire 2022,Long-distance Migrant,21.48261542,48.05263052,6.172207937,47.32505794,1150334.826,1150.334826,80.32165865,0.339216065,0.572076858,0.449762014
Antrozous pallidus,Pallid Bat,Migratory/Nonmigratory,Migratory,Migratory,"NM in NA - Fleming, SD - Bisson 2009, Moussy et al. 2013 says putative migratory; Lack et al. 2010 & cited sources mention migration; W&M2022 - mig",Fleming 2019; Bisson et al 2009; https://animalia.bio/pallid-bat; Moussy et al. 2013; Lack et al. 2010; Webber & McGuire 2022,Short-distance Migrant,-109.0335902,36.10126986,-103.3891227,36.24843176,507990.7689,507.9907689,-90.17363066,0.543688226,0.721525316,0.532082941
Barbastella barbastellus,Western Barbastelle,Migratory/Nonmigratory,Migratory,Migratory,"RM in Europe - Fleming 2003, NM - Bisson 2009, RM - Hutterer 2005/McGuire & Ratcliffe; mig - W&M2022",Fleming 2003; McGuire & Ratcliffe 2011; Bisson et al 2009; https://animalia.bio/western-barbastelle?property=76; Hutterer et al. 2005; Webber & McGuire 2022,Short-distance Migrant,19.38479966,50.09866457,10.15209924,49.0967896,676233.1603,676.2331603,77.02352889,0.505301039,0.668779151,0.575451503
Eptesicus nilssonii,Northern Bat,Migratory/Nonmigratory,Migratory,Migratory,"NM in Europe - Fleming 2003, NM - Bisson, resident - Ahlen 2009, Hutterer et al. 2005 mentions that they are regional migrants (provides distances and evidence), potential altitudinal mig - McGuire & Boyle 2013",Fleming 2003; Bisson et al 2009; Ahlen et al. 2009; M&B2013,Short-distance Migrant,30.63402,57.57703741,20.98859927,54.29072311,704234.0792,704.2340792,54.80731027,0.629700955,0.710634885,0.662927345
