Latin Name,Common Name,Status,Fig_stat,Colors,Additional migration info,Source,Mig Status (based on Fleming & Eby 2003),sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Vansonia rueppellii,R&uuml;ppell's Pipistrelle,Nonmigratory,Nonmigratory,Nonmigratory,NM,Bisson et al. 2009,Short-distance Migrant,25.51599844,7.216562865,25.23359165,0.752915896,715442.2555,715.4422555,2.503900203,0.376132894,0.608020084,-0.070925811
Vespertilio sinensis,Asian Particolored Bat,Nonmigratory,Nonmigratory,Nonmigratory,NM - Bisson,Bisson et al. 2009,,,,,,,,,,,
Eumops auripendulus,Black Bonneted Bat,Nonmigratory,Nonmigratory,Nonmigratory,nm-Medellin2003,Medellin 2003,Short-distance Migrant,-60.04394104,-9.395709083,-61.40287071,-7.121276247,292724.328,292.724328,149.3342412,0.691222593,0.801400396,0.210766539
Miniopterus africanus,African Long-fingered Bat,Potential Migrant,Potential Migrant,Migratory,PM? - O'Shea & Vaughan,O'Shea & Vaughan 1980,Short-distance Migrant,34.73329745,5.056716897,36.89377376,3.060519645,325996.784,325.996784,-47.31072274,0.078404713,0.160583628,0.110704245
Tadarida aegyptiaca,Egyptian Free-tailed Bat,Potential Migrant,Potential Migrant,Migratory,le Grange suggests possible migration but provides no evidence; Mohan et al 2022 also suggests evidence of potential/partial migration,le Grange et al 2010 - reproductive stategy of the Egyptian free-tailed bat,Long-distance Migrant,36.70524656,6.580110902,29.43338694,-12.74222349,2283236.721,2283.236721,21.03490867,0.204943052,0.434485062,0.204250577
Mormoops megalophylla,Peters's Ghost-faced Bat,Potential Migrant,Potential Migrant,Migratory,"Local/partial migrant? - Schmidly 1991, Ammerman et al. 2012",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106339/Mormoops_megalophylla,Short-distance Migrant,-91.39738634,24.29987571,-88.43051921,16.79923967,886062.9641,886.0629641,-19.92907874,0.486700989,0.597565116,0.375462096
Ametrida centurio,Little White-shouldered Bat,Potential Migrant,Potential Migrant,Migratory,suggests potential regional or altitudinal migration,"Acacio et al 2015 Ametrida centurio: small bat, big traveller?",Short-distance Migrant,-60.24416249,1.688731449,-57.90989257,3.188153641,308036.4726,308.0364726,-122.5098199,0.129349643,0.354433872,0.301357647
Anoura caudifer,Tailed Tailless Bat,Potential Migrant,Potential Migrant,Migratory,mention phenological changes in bat activity - migration could be possible,Pedro & Taddei 2002,Short-distance Migrant,-63.8484179,-8.742516071,-59.97912989,-6.125970374,515889.6458,515.8896458,-124.354812,0.51408284,0.527899801,0.297001859
Anoura geoffroyi,Geoffroy's Tailless Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013; https://animalia.bio/geoffroys-tailless-bat,Short-distance Migrant,-69.11530032,0.707113128,-68.08296303,-0.695769352,193051.4483,193.0514483,-36.53344751,0.614001721,0.707053254,0.510525461
Artibeus concolor,Brown Fruit-eating Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested by source in McGuire & Boyle 2013,McGuire & Boyle 2013,Nonmigratory,-63.47179993,2.802721337,-62.77503769,2.24194869,99244.40893,99.24440893,-51.31748104,0.565633679,0.584234999,0.523660131
Artibeus obscurus,Dark Fruit-eating Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-64.69806856,-3.905444035,-62.34219069,-4.664150902,274652.9004,274.6529004,-72.30420445,0.725951693,0.818098634,0.688468789
Carollia brevicauda,Silky Short-tailed Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-68.32962222,0.400215865,-64.18474983,-2.435645423,557775.8967,557.7758967,-55.84668984,0.707645666,0.721445861,0.444261198
Centurio senex,Wrinkle-faced Bat,Potential Migrant,Potential Migrant,Migratory,suggests it is a migrant; Wilson suggests altitudinal migration,Trujillo et al 2022; Wilson & Mittermeier 2019; Dumont et al 2009,Long-distance Migrant,-89.06930534,17.66418119,-78.14874514,12.3939769,1310611.75,1310.61175,-62.24854866,0.399852224,0.58537609,0.331815086
Chiroderma salvini,Salvin's Big-eyed Bat,Potential migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-75.45863877,5.96711282,-79.52030538,9.370516077,585173.3465,585.1733465,129.7408984,0.329887,0.55139269,0.319289859
Dermanura tolteca,Toltec Fruit-eating Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-91.96536766,16.304076,-88.41686249,15.09162849,403332.4811,403.3324811,-70.09747698,0.473618801,0.635348475,0.457570484
Gardnerycteris crenulata,Striped Hairy-nosed Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013; https://animalia.bio/striped-hairy-nosed-bat,Short-distance Migrant,-64.52862104,-2.090719235,-63.38816633,-0.188281433,245686.3381,245.6863381,-148.9030325,0.436625345,0.577939138,0.366575347
Hylonycteris underwoodi,Underwood's Long-tongued Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Nonmigratory,-92.15204372,22.58599474,-91.88777771,23.10825714,63880.54308,63.88054308,-154.8233025,0.496029836,0.513443343,0.383952993
Lonchophylla robusta,Orange Nectar Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-75.16072669,4.345878357,-73.24341481,-0.074255884,533251.7771,533.2517771,-23.54695957,0.397360433,0.493135807,0.00625737
Micronycteris megalotis,Little Big-eared Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-66.40404342,-0.832207905,-64.48132429,-2.195497139,261728.5924,261.7285924,-54.86215448,0.692562374,0.741436001,0.432177285
Platyrrhinus brachycephalus,Short-headed Broad-nosed Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-70.4982047,0.296276446,-64.88725846,-5.072094144,861138.5832,861.1385832,-46.58302918,0.219110452,0.337279311,0.207273157
Platyrrhinus helleri,Heller's Broad-nosed Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013,Short-distance Migrant,-68.88609439,0.307302463,-67.46782237,-0.121113076,164834.4997,164.8344997,-73.29798449,0.628127444,0.727760773,0.509291808
Platyrrhinus lineatus,White-lined Broad-nosed Bat,Potential Migrant,Potential Migrant,Migratory,mention phenological changes in bat activity - migration could be possible,Pedro & Taddei 2002,Short-distance Migrant,-57.67864449,-17.80285712,-52.66193608,-17.05836498,539284.9652,539.2849652,-99.53438158,0.360714405,0.459359761,0.385753591
Sturnira erythromos,Hairy Yellow-shouldered Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013,McGuire & Boyle 2013 (cites Giannini 1999 - surveys of Sturnira sp over elev gradient),Short-distance Migrant,-72.85370442,-6.455913219,-71.66140392,-7.281361271,160308.6583,160.3086583,-55.36144404,0.63085456,0.762143709,0.728596438
Sturnira lilium,Little Yellow-shouldered Bat,Potential Migrant,Potential Migrant,Migratory,"Mello et al. 2008 mentions possible seasonal altitudinal migration, M&B2013 also mentions potential alt mig (cites Giannini 1999 and others)",Pedro & Taddei 2002; Mello et al. 2008; McGuire & Boyle 2013; Giannini 1999 + others,Short-distance Migrant,-66.36667623,-2.734188754,-63.8267114,-4.25521533,328534.9205,328.5349205,-59.28940253,0.721182397,0.726657424,0.544017189
Sturnira ludovici,Highland Yellow-shouldered Bat,Potential Migrant,Potential Migrant,Migratory,Altitudinal mig. suggested in McGuire & Boyle 2013 (cites Fraser 2010),McGuire & Boyle 2013 (cites Fraser et al 2010),Long-distance Migrant,-73.61930385,3.109589414,-84.33195058,9.947951514,1404990.818,1404.990818,121.8455085,0.18926296,0.41950738,0.294572601
