Latin Name,Common Name,Status,Fig_stat,Mig_or_NM,Combo,Choices,Additional migration info,Source,,Mig Status (based on Fleming & Eby 2003),percent overlap ,sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Cistugo lesueuri,Lesueur's wing-gland bat,Unknown,Unknown,0,,Migratory,,,,,,,,,,,,,,,
Cistugo seabrae,Angolan wing-gland bat,Unknown,Unknown,0,,Migratory/Nonmigratory,,,,,,,,,,,,,,,
Craseonycteris thonglongyai,Hog-nosed bat,Unknown,Unknown,0,,Migratory/Potential Nonmigrant,,,,,,,,,,,,,,,
Balantiopteryx infusca,Ecuadorian sac-winged bat,Unknown,Unknown,0,,Nonmigratory,,,,,,,,,,,,,,,
Balantiopteryx io,Thomas's sac-winged bat,Nonmigratory,Nonmigratory,2,,Potential Migrant,"Dunlop says NM (sp studied over 1 year), animalia says unknown - likely not migratory, also has small range size",Dunlop 1998; https://animalia.bio/thomass-sac-winged-bat,,Short-distance Migrant,13.72986191,-90.36215104,16.52260122,-91.47274449,17.84132675,187771.1846,187.7711846,140.8430406,0.417782027,0.477304157,0.268595072
Balantiopteryx plicata,Gray sac-winged bat,Nonmigratory,Nonmigratory,2,,Potential Migrant/Nonmigratory,"Dunlop says NM (species studied for 1 year), Nagy says no evidence to suggest seasonal migration - does mention individuals will forage up to 12km from day roost",Nagy et al 2014 - dispersal and social organization in the neotropical grey sac-winged bat,,Short-distance Migrant,14.27826004,-95.735452,20.0212886,-97.11039109,19.18069459,171651.2616,171.6512616,56.94410687,0.516953941,0.624871802,0.523674862
Centronycteris centralis,Thoma's shaggy bat,Unknown,Unknown,0,,Potential Migrant/Potential Nonmigrant,,,,,,,,,,,,,,,
Centronycteris maximiliani,Shaggy bat,Unknown,Unknown,0,,Potential Nonmigrant,,,,,,,,,,,,,,,
Coleura afra,African sheath-tailed bat,Nonmigratory,Nonmigratory,2,,Unknown,NM - M&R2011,McGuire & Ratcliffe 2011,,Short-distance Migrant,19.05540865,17.42737002,5.761898755,17.60193273,9.692815626,435164.972,435.164972,-177.4514803,0.23288322,0.465768267,0.158537688
Coleura gallarum,Somali sheath-tailed bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Coleura kibomalandy,Madagascar sheath-tailed bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Coleura seychellensis,Seychelles sheath-tailed bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Cormura brevirostris,Chestnut sac-winged bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998,,Short-distance Migrant,44.19890928,-64.74366813,-1.782235809,-63.04566173,-2.527967763,206101.8375,206.1018375,-66.44976598,0.610895559,0.766691188,0.494824843
Cyttarops alecto,Short-eared bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus isabella,Isabelle's ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus albus,Northern ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus ingens,Greater ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Diclidurus scutatus,Lesser ghost bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura alecto,Small Asian Sheath-tailed Bat,Potential Nonmigrant,Nonmigratory,4,,,"Potentially not migratory - has low wing loading, low aspect ratio",Tanalgo et al. 2012 ,,Short-distance Migrant,15.58861218,119.8761839,8.244491934,117.4065457,1.880873517,755070.5567,755.0705567,21.16745677,0.305546347,0.497752404,0.293578232
Emballonura beccarii,Beccari's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura dianae,Large-eared Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura furax,New Guinean Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura monticola,Lesser Sheath-tailed Bat,Migratory,Migratory,1,,,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,Short-distance Migrant,5.773656191,112.5159945,4.95100566,114.0458493,3.279921021,250996.7858,250.9967858,-42.53849178,0.169221423,0.303030962,0.143110341
Emballonura raffrayana,Raffray's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Emballonura semicaudata,Polynesian Sheath-tailed Bat,Migratory,Migratory,1,,,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,,,
Emballonura serii,Seri's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Mosia nigrescens,Dark Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Paremballonura atrata,Peters's Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Paremballonura tiavato,Rock-loving Sheath-tailed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Peropteryx kappleri,Greater Dog-like Bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998; https://animalia.bio/greater-dog-like-bat,,Long-distance Migrant,5.812299057,-66.21375902,-2.0260024,-71.30132596,7.53252327,1198526.944,1198.526944,151.6782526,0.061302326,0.247229,0.052604257
Peropteryx leucoptera,White-winged Dog-like Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Peropteryx macrotis,Lesser Dog-like Bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998; https://animalia.bio/lesser-dog-like-bat,,Short-distance Migrant,23.39675828,-65.81464651,0.92819493,-63.75413458,-0.540083237,281012.9607,281.0129607,-54.70879925,0.513563787,0.608885651,0.377216401
Peropteryx pallidoptera,Pale-winged Doglike Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Peropteryx trinitatis,Trinidad Dog-like Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhynchonycteris naso,Proboscis Bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998,,Nonmigratory,34.46362321,-64.77390497,-0.328301794,-64.63099615,-0.577613834,31828.18566,31.82818566,-29.98801793,0.742193913,0.760564274,0.568866514
Saccolaimus flaviventris,Yellow-bellied Pouched Bat,Migratory,Migratory,1,,,"Potential migrant - Bonaccorso, Dunlop says known to migrate",Bonaccorso 2019; Dunlop 1998; https://animalia.bio/yellow-bellied-sheath-tailed-bat?property=76,,Short-distance Migrant,30.81461763,137.7735075,-24.91014925,141.5760327,-24.68670085,385272.2403,385.2722403,-94.47964186,0.545980496,0.669839186,0.402978588
Saccolaimus mixtus,Troughton's Pouched Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Saccolaimus peli,Pel's Pouched Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Saccolaimus saccolaimus,Naked-rumped Pouched Bat,Unknown,Unknown,0,,,no mention of migration found,"Australian govt documentation (https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66889), Reza et al 2022",,Long-distance Migrant,4.59778078,115.3827035,4.214070185,131.5601612,-11.01777127,2459627.953,2459.627953,-47.62687751,0.082193015,0.198251057,-0.049632386
Saccopteryx antioquensis,Antioquian Sac-winged Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Saccopteryx bilineata,Greater Sac-winged Bat,Nonmigratory,Nonmigratory,2,,,"NM - M&R, Dunlop says NM (sp studied for 1 year), NM - B&B2014",McGuire & Ratcliffe 2011; Dunlop 1998; Burns & Broder 2014; https://animalia.bio/greater-sac-winged-bat,,Short-distance Migrant,36.37932688,-69.28130474,3.231096043,-68.12883324,1.614452461,219965.246,219.965246,-35.61922493,0.676615897,0.725645496,0.458879551
Saccopteryx canescens,Frosted Sac-winged Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,18.34718423,-64.06565293,-0.3548477,-65.30773953,1.35660168,234367.3347,234.3673347,143.8401119,0.363535942,0.561165455,0.374854468
Saccopteryx gymnura,Amazonian Sac-winged Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Saccopteryx leptura,Lesser Sac-winged Bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998,,Short-distance Migrant,37.72253857,-63.31127501,-0.739442112,-62.37403154,-2.21110287,193283.3041,193.2833041,-32.67069409,0.708448844,0.74018364,0.476479169
Taphozous achates,Indonesian Tomb Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Taphozous australis,Coastal Tomb Bat,Nonmigratory,Nonmigratory,2,,,NM - M&R,McGuire & Ratcliffe 2011,,Short-distance Migrant,0.108359847,143.4923901,-17.50931613,147.8500567,-22.60062358,724768.75,724.76875,-39.73621875,0.02047502,0.080933245,0.069617682
Taphozous georgianus,Sharp-nosed Tomb Bat,Nonmigratory,Nonmigratory,2,,,nonmigratory emballonurid - species studied over course of 1 year,Dunlop 1998,,Nonmigratory,46.33273123,134.1611261,-21.86492224,134.1779278,-22.09980553,26066.45281,26.06645281,-3.820036672,0.795031997,0.848381848,0.679589837
Taphozous hamiltoni,Hamilton's Tomb Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Taphozous hildegardeae,Hildegarde's Tomb Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Taphozous hilli,Hill's Tomb Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,43.96282643,131.374544,-23.83304103,129.8763993,-25.3808363,228928.7865,228.9287865,41.82077718,0.662153877,0.788709265,0.550528589
Taphozous kapalgensis,Arnhem Tomb Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Taphozous longimanus,Long-winged Tomb Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Taphozous mauritianus,Mauritian Tomb Bat,Migratory/Nonmigratory,Migratory,FALSE,,,"Mig - M&R2011, PM? - O'Shea & Vaughan, animalia.bio says nonmigratory but provides no evidence; Dunlop 1998 says nonmigratory, mig-W&M2022",McGuire & Ratcliffe 2011; O'Shea & Vaughan 1980; Dunlop 1998; https://animalia.bio/mauritian-tomb-bat; Webber & McGuire 2022,,Short-distance Migrant,19.85711471,25.11670607,-1.223467511,23.15847063,-4.90162074,461293.2061,461.2932061,28.21474159,0.364413071,0.566876608,0.370795141
Taphozous melanopogon,Black-bearded Tomb Bat,Migratory,Migratory,1,,,"Mig - M&R2011, animalia.bio says nonmigratory but provides no evidence",McGuire & Ratcliffe 2011; https://animalia.bio/black-bearded-tomb-bat,,Short-distance Migrant,9.953240564,94.13463064,19.81495015,91.86153039,17.61570843,341651.1315,341.6511315,44.20339333,0.256331426,0.500644839,0.406283954
Taphozous nudiventris,Naked-rumped Tomb Bat,Migratory,Migratory,1,,,mig- W&M2022,Webber & McGuire 2022,,,,,,,,,,,,,
Taphozous perforatus,Egyptian Tomb Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Taphozous theobaldi,Theobald's Tomb Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Taphozous troughtoni,Troughton's Tomb Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,17.63402851,144.3691567,-20.86643679,145.4521466,-20.63283796,115712.542,115.712542,-103.1065565,0.692514311,0.757188275,0.686874627
Amorphochilus schnablii,Smoky Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Furipterus horrens,Thumbless Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Anthops ornatus,Flower-faced Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Asellia arabica,Arabian Trident Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Asellia italosomalica,Horn-of-Africa Trident Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Asellia patrizii,Patrizi's Trident Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Asellia tridens,Geoffroy's Trident Leaf-nosed Bat,Migratory,Migratory,1,,,potential migrant - Harrison; mig-W&M2022,Harrison 1957; Owens & Qumsiyeh 1986; Webber & McGuire 2022,,Long-distance Migrant,6.0478629,33.36190625,32.13254779,23.12089344,24.03994529,1346728.704,1346.728704,45.97572357,0.081617486,0.271255617,0.071663048
Aselliscus dongbacanus,Dong Bac's Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Aselliscus stoliczkanus,Stoliczka's Asian Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Aselliscus tricuspidatus,Temminck's Asian Trident Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Coelops frithii,East Asian Tailless Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Coelops hirsutus,Philippine Tailless Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Coelops robinsoni,Malayan Tailless Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Doryrhina camerunensis,Cameroon Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Doryrhina cyclops,Cyclops Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,33.476034,16.15093076,4.081529852,17.93137895,1.688158501,330483.0301,330.4830301,-36.75436587,0.737636724,0.739631951,0.525975381
Hipposideros abae,Aba Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros alongensis,Halong Bay Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros antricola,Philippine Dusky Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros armiger,Great Leaf-nosed Bat,Nonmigratory,Nonmigratory,2,,,NM - Moussy,Moussy 2013,,Short-distance Migrant,6.203416349,101.695477,22.04322927,98.61424858,20.20780108,379127.0232,379.1270232,57.04143081,0.297406498,0.423609892,0.33005537
Hipposideros ater,Dusky Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,9.527016064,133.7346772,-14.9426659,131.9256597,-11.40428718,437819.9542,437.8199542,153.5907074,0.558969046,0.677879605,0.627926123
Hipposideros beatus,Benito Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Nonmigratory,35.15521809,18.35211675,3.72708679,17.71355965,3.479350791,76049.52255,76.04952255,68.86665413,0.662319075,0.74954003,0.537091857
Hipposideros bicolor,Bicolored Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,15.15270274,105.0677935,17.04732604,108.110759,8.844235921,965610.4568,965.6104568,-19.6712077,0.311706742,0.489223201,0.29540069
Hipposideros boeadii,Boeadi's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros breviceps,Short-headed Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros caffer,Sundevall's Leaf-nosed Bat,Nonmigratory,Nonmigratory,2,,,Annual resident,O'Shea & Vaughan 1980,,Short-distance Migrant,37.77919723,22.86080684,-1.201388518,22.48741251,-2.362579586,134953.1839,134.9531839,17.93617033,0.461779598,0.669078142,0.325150617
Hipposideros calcaratus,Spurred Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros cervinus,Fawn-colored Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,38.01511716,120.3119125,-0.995979127,123.8056842,-4.276730192,531516.0536,531.5160536,-47.05549577,0.68442314,0.77881218,0.585483807
Hipposideros cineraceus,Ashy Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,30.26538103,105.4228123,16.3584265,104.4918457,13.85228602,294806.6765,294.8066765,19.72459824,0.647351228,0.731598725,0.557099847
Hipposideros coronatus,Large Mindanao Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros corynophyllus,Telefomin Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros coxi,Cox's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros crumeniferus,Timor Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros curtus,Short-tailed Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros demissus,Makira Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros diadema,Diadem Leaf-nosed Bat,Unknown,Unknown,0,,,NM according to animalia.bio but not peer-reviewed source,https://animalia.bio/diadem-leaf-nosed-bat,,Short-distance Migrant,25.36136214,116.7992499,4.049650026,122.4131004,-2.199004148,931377.0873,931.3770873,-42.11573952,0.568734466,0.669123442,0.482336264
Hipposideros dinops,Fierce Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros doriae,Bornean Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros durgadasi,Durga Das's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros dyacorum,Dayak Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros edwardshilli,Hill's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros einnaythu,House-dwelling Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros fuliginosus,Sooty Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros fulvus,Fulvus Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros galeritus,Cantor's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,4.426727882,119.1905366,4.134799105,116.293022,1.392512113,442412.8964,442.4128964,46.6738661,0.088821446,0.293246566,0.205728907
Hipposideros gentilis,Exotic Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros grandis,Grand Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros griffini,Griffin's Leaf-nosed bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros halophyllus,Thailand Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros hypophyllus,Leafletted Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros inexpectatus,Crested Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros inornatus,McKean's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros jonesi,Jones' Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros khaokhouayensis,Phou Khao Khouay Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros kingstonae,Kingston's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros kunzi,Kunz's Bicolored Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros lamottei,Lamotte's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros lankadiva,Indian Leaf-nosed Bat,Migratory,Migratory,1,,,mig - McGuire & Ratcliffe,McGuire & Ratcliffe 2011,,,,,,,,,,,,,
Hipposideros larvatus,Intermediate Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,47.82516406,104.0536668,15.90435246,103.0269152,15.40587431,123129.864,123.129864,63.24838025,0.732160245,0.758862969,0.363001146
Hipposideros lekaguli,Large Asian Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros lylei,Shield-faced Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros macrobullatus,Big-eared Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros madurae,Maduran Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros maggietaylorae,Maggie Taylor's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros marisae,Aellen's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros megalotis,Large-eared Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros muscinus,Fly River Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros nequam,Malayan Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros nicobarulae,Nicobar Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros obscurus,Philippine Forest Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros orbiculus,Orbiculus Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros papua,Biak Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros pelingensis,Peleng Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros pendleburyi,Pendlebury's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros pomona,Pomona Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros poutensis,Allen's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros pygmaeus,Philippine Pygmy Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros ridleyi,Ridley's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros rotalis,Laotian Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros ruber,Noack's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,Nonmigratory,40.32434675,20.41076742,0.954884492,20.58757693,0.262988623,78996.90897,78.99690897,-14.42573988,0.693104814,0.770086549,0.530239397
Hipposideros scutinares,Shield-nosed Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros semoni,Semon's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros sorenseni,Sorensen's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros speoris,Schneider's Leaf-nosed Bat,Nonmigratory,Nonmigratory,2,,,NM - Burns & Broder 2014,Burns & Broder 2014,,,,,,,,,,,,,
Hipposideros stenotis,Narrow-eared Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros sumbae,Sumban Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros swinhoii,Swinhoe's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros tephrus,Ash Gray Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Hipposideros turpis,Lesser Leaf-nosed Bat,Nonmigratory,Nonmigratory,2,,,NM - Moussy,Moussy et al 2013,,,,,,,,,,,,,
Hipposideros wollastoni,Wollaston's Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Macronycteris commersonii,Commerson's Leaf-nosed Bat,Migratory,Migratory,1,,,"partial migrant? - O'Shea & Vaughan, evidence of migration - Hutson 2001",Rakotoarivelo et al 2019; O'Shea & Vaughan 1980; https://animalia.bio/commersons-roundleaf-bat?property=76; see Hutson et al 2001 about M.B. Fenton personal communication; ,,Long-distance Migrant,10.16181594,20.9889254,2.273226134,29.69633475,-13.91988973,2032410.036,2032.410036,-28.87433757,0.181830071,0.325633888,0.016722075
Macronycteris cryptovalorona,Cryptic Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Macronycteris gigas,Giant Leaf-nosed Bat,Migratory/Nonmigratory,Nonmigratory,FALSE,,,"NM - Moussy et al 2013, Rakotoarivelo et al 2019 mentions local seasonal migrations (see the papers they cite too)",Moussy et al 2013; Rakotoarivelo et al 2019 (also look at papers they cite),,,,,,,,,,,,,
Macronycteris thomensis,São Tomé Leaf-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Macronycteris vittata,Striped Leaf-nosed Bat,Migratory,Migratory,1,,,local seasonal migrations assoc. with prey fluc - Rakotoarivelo et al 2019,Rakotoarivelo et al 2019,,,,,,,,,,,,,
Cardioderma cor,Heart-nosed Bat,Potential Migrant/Nonmigratory,Nonmigratory,FALSE,,,"NM - M&R2011, but O'Shea & Vaughan suggests migratory",McGuire & Ratcliffe 2011; Fleming & Eby 2003; O'Shea & Vaughan 1980; https://animalia.bio/heart-nosed-bat,,Nonmigratory,10.77369904,38.10673767,0.717510974,37.73376393,1.048201621,55321.84442,55.32184442,131.3706845,0.226289847,0.415784144,0.239370652
Eudiscoderma thongareeae,Thongaree's Disc-nosed Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Lavia frons,Yellow-winged Bat,Nonmigratory,Nonmigratory,2,,,NM,McGuire & Ratcliffe 2011,,Short-distance Migrant,24.79848878,21.64989135,1.767488742,20.15310523,5.905619834,486845.8294,486.8458294,159.9780225,0.602312506,0.685482608,0.513596794
Lyroderma lyra,Greater False Vampire Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,13.20318053,94.42588385,20.99809186,89.18945854,22.32932368,561634.437,561.634437,104.2367385,0.257832951,0.481380259,0.330152586
Macroderma gigas,Australian False Vampire Bat,Nonmigratory,Nonmigratory,2,,,"NM - Moussy, sedentery - M&R2011",Moussy 2013; McGuire & Ratcliffe 2011; https://animalia.bio/ghost-bat,,Short-distance Migrant,16.42170359,135.3562678,-20.06393831,135.0287637,-21.0841278,117995.362,117.995362,16.87906926,0.530963867,0.593446796,0.450495946
Megaderma spasma,Lesser False Vampire Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,19.91908124,98.22777934,16.01805564,102.6307786,10.45912551,778288.5378,778.2885378,-37.32842234,0.400088616,0.550041888,0.316042623
Miniopterus aelleni,Aellen's Long-fingered Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Miniopterus africanus,African Long-fingered Bat,Potential Migrant,Migratory,3,,,PM? - O'Shea & Vaughan,O'Shea & Vaughan 1980,,Short-distance Migrant,0.939916391,34.73329745,5.056716897,36.89377376,3.060519645,325996.784,325.996784,-47.31072274,0.078404713,0.160583628,0.110704245
Miniopterus ambohitrensis,Ambohitra Long-fingered Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Miniopterus arenarius,Sandy Long-fingered Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Miniopterus australis,Little Long-fingered Bat,Migratory,Migratory,1,,,Mig - M&R; mig-W&M2022; animalia.bio says nonmigratory but provides no evidence,McGuire & Ratcliffe 2011; Webber & McGuire 2022; https://animalia.bio/little-bent-wing-bat,,Long-distance Migrant,24.87549325,65.55628765,-4.963893188,89.6043545,-16.8032568,2932023.906,2932.023906,-66.21662139,0.258697305,0.506705559,0.041665076
Miniopterus brachytragos,Broad-tragused Long-fingered Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Miniopterus egeri,Eger's Long-fingered Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Miniopterus eschscholtzii ,Eschscholtz's Bent-winged Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
