Latin Name,Common Name,Status,Fig_stat,Mig_or_NM,Combo,Choices,Additional migration info,Source,,Mig Status (based on Fleming & Eby 2003),percent overlap ,sum_lon,sum_lat,win_lon,win_lat,distance (m),dist (km),bearing,D,I,rank.corr
Rhinolophus perditus,Yaeyama Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus perniger,Northern Woolly Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus philippinensis,Large-eared Horseshoe Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,1.18662034,119.3479291,4.538797405,121.468541,2.350734951,337729.5374,337.7295374,-44.18425191,0.055587961,0.196266803,0.153951093
Rhinolophus proconsulis,Proconsul's Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus pumilus,Little Okinawan Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus pusillus,Least Horseshoe Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,21.57357612,100.696158,20.77953788,95.17630526,22.10034204,590548.9459,590.5489459,103.3161521,0.499098034,0.581389199,0.345618676
Rhinolophus refulgens,Glossy Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus rex,King Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus robinsoni,Peninsular Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus rouxii,Rufous Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus rufus,Large Rufous Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus ruwenzorii,Ruwenzori Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus sakejiensis,Sakeji Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus sedulus,Lesser Woolly Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus septentrionalis,Northern Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus shameli,Shamel's Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus shortridgei,Shortridge's Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus siamensis,Northern Thai Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus silvestris,Forest Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus simulator,Bushveld Horseshoe Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,20.53475543,30.17586633,-15.7799637,33.46617397,-11.32468675,608049.3307,608.0493307,-144.5225153,0.464960332,0.575376209,0.329208298
Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus smithersi,Smithers' Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus stheno,Lesser Brown Horseshoe Bat,Unknown,Unknown,0,,,,,,Short-distance Migrant,14.05093347,101.3351233,15.32142502,99.56444485,14.99975562,193593.6906,193.5936906,79.17505613,0.518830692,0.573027295,0.43244188
Rhinolophus subbadius,Little Nepalese Horseshoe Bat,Unknown,Unknown,0,,,,,,,,,,,,,,,,,
Rhinolophus subrufus,Small Rufous Horseshoe Bat,Unknown,Unknown,0,,,,,,Nonmigratory,38.16852636,122.920997,11.98975496,122.6929332,11.99344452,24840.88201,24.84088201,90.91774525,0.545486978,0.726894714,0.474633613
